$version=1
!Code,Name,SystemCode,DemandCode,BusCode,ReactivePowerInputType
216,SANTAN-GO138,1,1,1231,0
217,ESTREL-GO138,1,1,1234,0
218,PARANA-GO069,1,1,1240,0
219,A.LIND-GO069,1,1,1242,0
220,PALMEI-GO069,1,1,1244,0
221,NIQULA-GO034,1,1,1248,0
222,SERRAO-GO138,1,1,1253,0
223,SMARCO-GO138,1,1,1254,0
224,MINEIR-GO138,1,1,1262,0
225,CRISTA-GO138,1,1,1267,0
226,IPE----GO138,1,1,1274,0
227,COXIPO-MT138,1,1,1291,0
228,B-DURO-MT138,1,1,1293,0
229,VGRAND-MT138,1,1,1295,0
230,C-ALTA-MT138,1,1,1297,0
231,C-P-A--MT138,1,1,1300,0
232,CRIREI-MT138,1,1,1302,0
233,RODOVI-MT138,1,1,1304,0
234,TREVOL-MT138,1,1,1306,0
235,C-VERD-MT138,1,1,1309,0
236,PRIMAV-MT138,1,1,1310,0
237,PRIMRU-MT138,1,1,1311,0
238,PARAAA-MT138,1,1,1312,0
239,JACIAR-MT138,1,1,1316,0
240,RONDON-MT138,1,1,1317,0
241,ROND-R-MT034,1,1,1319,0
242,RODCEN-MT138,1,1,1320,0
243,SOZINH-MT138,1,1,1322,0
244,PETRVA-MT138,1,1,1323,0
245,FERRON-MT138,1,1,1325,0
246,CANGAS-MT138,1,1,1326,0
247,B.PEIX-MT138,1,1,1331,0
248,B-GARC-MT138,1,1,1332,0
249,NXAVAN-MT138,1,1,1333,0
250,A-BOA1-MT138,1,1,1334,0
251,CANARA-MT138,1,1,1335,0
252,QUEREN-MT138,1,1,1336,0
253,ALTBVI-MT138,1,1,1337,0
254,CONFRE-MT138,1,1,1338,0
255,VILARI-MT138,1,1,1339,0
256,POCONE-MT138,1,1,1340,0
257,CACERE-MT138,1,1,1341,0
258,QMARCO-MT138,1,1,1342,0
259,ARAPUT-MT138,1,1,1343,0
260,PLACER-MT138,1,1,1345,0
261,MINERA-MT138,1,1,1346,0
262,COMODO-MT138,1,1,1347,0
263,ITAQU--MT138,1,1,1350,0
264,NOBRES-MT138,1,1,1351,0
265,CIMENT-MT138,1,1,1353,0
266,DENISE-MT069,1,1,1355,0
267,TANGAR-MT138,1,1,1356,0
268,ITNORT-MT069,1,1,1358,0
269,DIAMAN-MT138,1,1,1359,0
270,BBUGRE-MT069,1,1,1361,0
271,NOLIMP-MT069,1,1,1363,0
272,JANGAD-MT138,1,1,1366,0
273,CAMPON-MT138,1,1,1370,0
274,SAPEZA-MT138,1,1,1372,0
275,BRASNO-MT138,1,1,1373,0
276,JUARA--MT138,1,1,1375,0
277,JUINA--MT138,1,1,1376,0
278,STA-RI-MT138,1,1,1377,0
279,BESPER-MT138,1,1,1378,0
280,D.TOGA-MT138,1,1,1379,0
281,N-MUTU-MT069,1,1,1380,0
282,SJRCLA-MT138,1,1,1381,0
283,SADILU-MT013,1,1,1382,0
284,SOR.R1-MT069,1,1,1383,0
285,SNPIND-MT138,1,1,1384,0
286,SINOP--MT069,1,1,1386,0
287,SNPCNT-MT138,1,1,1387,0
288,CLAUDI-MT138,1,1,1390,0
289,COLIDE-MT138,1,1,1391,0
290,MATUPA-MT138,1,1,1392,0
291,AFLORE-MT138,1,1,1393,0
292,NMUTUM-MT138,1,1,1394,0
293,NMVERD-MT138,1,1,1395,0
294,IPIRAN-MT138,1,1,1397,0
295,JURUEN-MT138,1,1,1399,0
296,PARAAB-MT138,1,1,1409,0
297,IGARA2-MG138,1,1,1526,0
298,NLIMA7-MG138,1,1,1540,0
299,ADELA1-MG138,1,1,1545,0
300,ATALAI-MG138,1,1,1546,0
301,BETIM4-MG138,1,1,1548,0
302,BETIM5-MG138,1,1,1549,0
303,BETIM2-MG138,1,1,1550,0
304,BETIM3-MG138,1,1,1551,0
305,BONSUC-MG138,1,1,1552,0
306,BPRETO-MG138,1,1,1553,0
307,CENTR2-MG138,1,1,1554,0
308,CINCO--MG138,1,1,1555,0
309,CISLUZ-MG138,1,1,1556,0
310,COMINC-MG138,1,1,1557,0
311,CONTA3-MG138,1,1,1558,0
312,GUTIER-MG138,1,1,1559,0
313,HORTO--MG138,1,1,1560,0
314,JATOBA-MG138,1,1,1561,0
315,SLUZI4-MG138,1,1,1562,0
316,MARACA-MG138,1,1,1563,0
317,MATOZI-MG138,1,1,1564,0
318,MVELHO-MG138,1,1,1565,0
319,NEVES1-MG138,1,1,1566,0
320,NEVES2-MG138,1,1,1567,0
321,NEVES3-MG138,1,1,1568,0
322,NEVES4-MG138,1,1,1569,0
323,NGRANJ-MG138,1,1,1570,0
324,NLIMA1-MG138,1,1,1571,0
325,PAMPUL-MG138,1,1,1572,0
326,PARAOP-MG138,1,1,1573,0
327,PLEOP3-MG138,1,1,1574,0
328,BETRGP-MG138,1,1,1575,0
329,SABARA-MG138,1,1,1576,0
330,SEFIGE-MG138,1,1,1577,0
331,SION---MG138,1,1,1578,0
332,SLAGO1-MG138,1,1,1579,0
333,SLAGO2-MG138,1,1,1580,0
334,CNCSID-MG138,1,1,1581,0
335,SLUZI1-MG138,1,1,1583,0
336,SLUZI2-MG138,1,1,1584,0
337,SMARCO-MG138,1,1,1585,0
338,SVERDA-MG138,1,1,1586,0
339,TAQUAR-MG138,1,1,1587,0
340,UTIGAR-MG138,1,1,1588,0
341,VESPA1-MG138,1,1,1590,0
342,BCOCA4-MG138,1,1,1591,0
343,ESMERA-MG138,1,1,1592,0
344,CALAFA-MG138,1,1,1593,0
345,CONTA7-MG138,1,1,1594,0
346,CONTA4-MG138,1,1,1595,0
347,SLAGO5-MG138,1,1,1598,0
348,NLIMA4-MG138,1,1,1599,0
349,SGOTA1-MG138,1,1,1607,0
350,ARACUA-MG138,1,1,1611,0
351,CAMPAN-MG138,1,1,1614,0
352,CARATI-MG138,1,1,1615,0
353,CPENA--MG230,1,1,1616,0
354,FINOCE-MG138,1,1,1617,0
355,GVALA2-MG138,1,1,1618,0
356,INHAP2-MG138,1,1,1621,0
357,IPATI1-MG138,1,1,1622,0
358,IPATI1-MG230,1,1,1623,0
359,NAQUE1-MG138,1,1,1624,0
360,ITAOBI-MG138,1,1,1627,0
361,JEQUI1-MG138,1,1,1628,0
362,MANHAA-MG138,1,1,1629,0
363,PECAN2-MG138,1,1,1632,0
364,PPARAI-MG138,1,1,1633,0
365,GVAL2--MG069,1,1,1634,0
366,TOTON1-MG138,1,1,1636,0
367,USIMNA-MG230,1,1,1644,0
368,ARACU2-MG138,1,1,1647,0
369,USIMNB-MG230,1,1,1648,0
370,GUANH2-MG138,1,1,1649,0
371,IPATI2-MG138,1,1,1651,0
372,SGRAND-MG161,1,1,1652,0
373,CMINAS-MG138,1,1,1661,0
374,OPRET4-MG138,1,1,1666,0
375,BARBA2-MG138,1,1,1667,0
376,BARRO3-MG138,1,1,1668,0
377,CARAN2-MG138,1,1,1669,0
378,CONGON-MG138,1,1,1670,0
379,CPFLSJ-MG138,1,1,1671,0
380,ESMAN--MG138,1,1,1672,0
381,JFORA1-MG138,1,1,1673,0
382,JFORA7-MG138,1,1,1674,0
383,LAFAI1-MG138,1,1,1675,0
384,MARI-B-MG138,1,1,1677,0
385,MARIA2-MG138,1,1,1678,0
386,OPRET1-MG138,1,1,1679,0
387,PNOVA1-MG138,1,1,1681,0
388,RACIM4-MG138,1,1,1682,0
389,MARI-A-MG138,1,1,1683,0
390,SDUMON-MG138,1,1,1684,0
391,SJDRE1-MG138,1,1,1685,0
392,PIAU---MG138,1,1,1687,0
393,SOBRAG-MG138,1,1,1689,0
394,VICOSA-MG138,1,1,1690,0
395,JFORA8-MG138,1,1,1692,0
396,JFORA2-MG138,1,1,1693,0
397,JFORA4-MG138,1,1,1694,0
398,ITABIR-MG138,1,1,1699,0
399,ARAGU2-MG138,1,1,1712,0
400,ARAXA1-MG138,1,1,1713,0
401,AVATIN-MG138,1,1,1715,0
402,CASSIA-MG138,1,1,1716,0
403,COROMA-MG138,1,1,1717,0
404,CPARA2-MG138,1,1,1718,0
405,FRUTA2-MG138,1,1,1719,0
406,IBIA2--MG138,1,1,1720,0
407,IRMINA-MG138,1,1,1721,0
408,MCARME-MG138,1,1,1723,0
409,NPONTE-MG138,1,1,1724,0
410,PASSO1-MG138,1,1,1725,0
411,PATROC-MG138,1,1,1726,0
412,PRA-1-TAP138,1,1,1727,0
413,PTMIN1-MG138,1,1,1728,0
414,PTMIN2-MG138,1,1,1729,0
415,RPARAN-MG138,1,1,1730,0
416,SACRAM-MG138,1,1,1731,0
417,SSPARA-MG138,1,1,1732,0
418,UBERA1-MG138,1,1,1733,0
419,UBERA3-MG138,1,1,1735,0
420,UBERA4-MG138,1,1,1736,0
421,UBERA5-MG138,1,1,1737,0
422,UBERA6-MG138,1,1,1738,0
423,UBERL1-MG138,1,1,1739,0
424,UBERL6-MG138,1,1,1740,0
425,UBERL7-MG138,1,1,1741,0
426,UBTFFT-MG138,1,1,1742,0
427,EMBORC-MG138,1,1,1744,0
428,MIRAND-MG138,1,1,1747,0
429,CBMM---MG138,1,1,1752,0
430,ARCOS2-MG138,1,1,1760,0
431,ARCOS--MG138,1,1,1770,0
432,BDESP2-MG138,1,1,1771,0
433,DIVIN1-MG138,1,1,1772,0
434,DIVIN2-MG138,1,1,1773,0
435,DIVIWM-MG138,1,1,1774,0
436,IGUAT2-MG138,1,1,1775,0
437,ITAUN1-MG138,1,1,1776,0
438,MLEME--MG138,1,1,1777,0
439,NSERR1-MG138,1,1,1778,0
440,PAINS2-MG138,1,1,1779,0
441,PINDAI-MG138,1,1,1781,0
442,PRMIN1-MG138,1,1,1782,0
443,GAFANH-MG138,1,1,1784,0
444,CLAUD2-MG138,1,1,1785,0
445,BOCAIU-MG138,1,1,1800,0
446,BRASI2-MG138,1,1,1801,0
447,BURITI-MG138,1,1,1802,0
448,CORINT-MG138,1,1,1803,0
449,CURVE2-MG138,1,1,1804,0
450,DIAMAN-MG138,1,1,1805,0
451,FRNSA1-MG138,1,1,1806,0
452,GMOR---MG138,1,1,1807,0
453,ITACA2-MG138,1,1,1808,0
454,JANAUB-MG138,1,1,1809,0
455,JANUA3-MG138,1,1,1810,0
456,JANUA4-MG138,1,1,1811,0
457,JEQUIT-MG138,1,1,1812,0
458,JPINHE-MG138,1,1,1813,0
459,MANGA3-MG138,1,1,1814,0
460,MANGA5-MG138,1,1,1815,0
461,MANGA6-MG138,1,1,1816,0
462,MCLAR2-MG138,1,1,1817,0
463,MIRABE-MG138,1,1,1818,0
464,MOCAMB-MG138,1,1,1819,0
465,PARAC1-MG138,1,1,1820,0
466,PARAC5-MG138,1,1,1821,0
467,PIRAP1-MG138,1,1,1822,0
468,SALINA-MG138,1,1,1823,0
469,PIRAD1-MG138,1,1,1825,0
470,QUEIMA-MG138,1,1,1826,0
471,TMARIA-MG138,1,1,1827,0
472,UNAI2--MG138,1,1,1828,0
473,UNAI3--MG138,1,1,1829,0
474,VAZANT-MG138,1,1,1830,0
475,VPALM1-MG138,1,1,1831,0
476,PIRAD2-MG138,1,1,1833,0
477,MCLAR1-MG138,1,1,1834,0
478,WD.BIOUTE013,1,1,1840,0
479,NRESEN-MG138,1,1,1858,0
480,ALFEN1-MG138,1,1,1860,0
481,ALFEN2-MG138,1,1,1861,0
482,ANDRA2-MG138,1,1,1862,0
483,BESPER-MG138,1,1,1863,0
484,BMATA--MG138,1,1,1864,0
485,BOTELH-MG138,1,1,1865,0
486,BRASOP-MG138,1,1,1866,0
487,CAMBUQ-MG138,1,1,1868,0
488,CAXAMB-MG138,1,1,1869,0
489,GUAXU2-MG138,1,1,1871,0
490,ITAJU1-MG138,1,1,1872,0
491,SGSAPU-MG138,1,1,1875,0
492,LAVRA2-MG138,1,1,1876,0
493,MACHA2-MG138,1,1,1877,0
494,MFE2---MG138,1,1,1878,0
495,MINDUR-MG138,1,1,1879,0
496,MUZAM2-MG138,1,1,1880,0
497,NEPOMU-MG138,1,1,1881,0
498,OFINO--MG138,1,1,1882,0
499,PALEG1-MG138,1,1,1883,0
500,PALEG2-MG138,1,1,1884,0
501,PARAGU-MG138,1,1,1885,0
502,PCALD2-MG138,1,1,1887,0
503,SLOURE-MG138,1,1,1888,0
504,SRCALD-MG138,1,1,1889,0
505,SRSAPU-MG138,1,1,1890,0
506,TCORA1-MG138,1,1,1891,0
507,TCORA2-MG138,1,1,1892,0
508,TPONTA-MG138,1,1,1893,0
509,FUNIL--MG138,1,1,1894,0
510,ITUTNB-MG138,1,1,1895,0
511,VARGI1-MG138,1,1,1896,0
512,VARGI2-MG138,1,1,1897,0
513,MSIAO--MG138,1,1,1898,0
514,PARAIS-MG138,1,1,1899,0
515,JULIUS-RJ069,1,1,1921,0
516,TADEU.-RJ069,1,1,1922,0
517,SUMIDO-RJ069,1,1,1923,0
518,C.PAUL-RJ069,1,1,1926,0
519,CONQUI-RJ138,1,1,1927,0
520,TADEO2-RJ069,1,1,1928,0
521,ITAORN-RJ138,1,1,1941,0
522,A.REIS-RJ138,1,1,1943,0
523,JACUAC-RJ138,1,1,1945,0
524,MURIQU-RJ138,1,1,1947,0
525,CDISTR-RJ069,1,1,1951,0
526,MOMBAC-RJ138,1,1,1953,0
527,DCAMPO-RJ138,1,1,1955,0
528,IMBARI-RJ138,1,1,1958,0
529,CELIS1-RJ138,1,1,1960,0
530,CELIS2-RJ138,1,1,1961,0
531,PNGEL2-RJ138,1,1,1963,0
532,ITALVA-RJ069,1,1,1964,0
533,P.ANGE-RJ138,1,1,1966,0
534,RIOPOL-RJ138,1,1,1969,0
535,ITAPER-RJ069,1,1,1972,0
536,TAPCED-RJ138,1,1,1980,0
537,TAPSJA-RJ138,1,1,1981,0
538,ENT.AR-RJ138,1,1,1982,0
539,SPALDE-RJ069,1,1,1984,0
540,PCARRO-RJ138,1,1,1985,0
541,TAMOI1-RJ069,1,1,1987,0
542,R.LEAO-RJ069,1,1,1989,0
543,IMBOAS-RJ138,1,1,1990,0
544,ALVOR2-RJ138,1,1,1991,0
545,VOTORA-RJ138,1,1,1992,0
546,GUARUS-RJ069,1,1,1993,0
547,MACABU-RJ069,1,1,1996,0
548,PALMAS-RJ069,1,1,1997,0
549,TERESO-RJ138,1,1,2000,0
550,RCIDA1-RJ069,1,1,2001,0
551,STACLA-RJ069,1,1,2005,0
552,PONTIN-RJ069,1,1,2009,0
553,MAGE---RJ069,1,1,2011,0
554,QUALIM-RJ069,1,1,2012,0
555,IMUNAN-RJ069,1,1,2013,0
556,ITAMBI-RJ069,1,1,2014,0
557,P.ROSA-RJ138,1,1,2016,0
558,GUAXIN-RJ138,1,1,2018,0
559,RCIDA2-RJ069,1,1,2019,0
560,ALCANT-RJ138,1,1,2020,0
561,GBRANC-RJ138,1,1,2022,0
562,SPONTE-RJ138,1,1,2023,0
563,SLOURE-RJ069,1,1,2024,0
564,INGA1--RJ138,1,1,2025,0
565,Z.SUL--RJ138,1,1,2026,0
566,ARSEN1-RJ138,1,1,2028,0
567,ARSEN2-RJ138,1,1,2029,0
568,ITAMAR-RJ069,1,1,2030,0
569,ICARAI-RJ138,1,1,2031,0
570,RESIND-RJ138,1,1,2033,0
571,MICHEL-RJ138,1,1,2035,0
572,NUCLEI-RJ138,1,1,2036,0
573,PIABAN-RJ069,1,1,2037,0
574,FAG----RJ069,1,1,2038,0
575,AREAL--RJ069,1,1,2039,0
576,CBRANC-SP138,1,1,2071,0
577,MOCO1A-SP138,1,1,2072,0
