**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2037 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2038 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2039 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
**** Planta:   31 ITUMBIARA   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2026 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2027 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2028 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2029 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2030 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2031 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2032 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2033 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2034 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2035 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2036 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2037 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
2038 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
