$version=1
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE. CCTp FuVr FuVrLm ExcG
 772 NORTEFLU        4    1  826.78       0  826.78    1.92 4.84279       0    0  772     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 774 N.PIRATININ1    2    1  386.38       0  386.38    4.19 18.7723       0    0  774     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 775 ST.CRUZ NOV1    2    1     500       0     500    4.91 10.3587       0    0  775     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 776 BAIXADA FLU1    2    1     530       0     530    7.78 12.6031       0    0  776     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 791 DAIA       1    1    1   44.44       0   44.44       0       0       0    0  791     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 795 XAVANTES   1    1    1   53.58       0   53.58    0.31 .658911       0    0  795     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 801 TERMOMACAE 1    2    1     923       0     923    8.07 13.1997       0    0  801     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 802 KARKEY 013 2    1    1  258.64       0  258.64    0.88  4.1807       0    0  802     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 803 KARKEY 019 2    1    1  115.92       0  115.92    0.76  3.0326       0    0  803     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 804 LINHARES PC1    1    1      36       0      36    1.87 3.03775       0    0  804     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 805 PAULINIA VE1    1    1   15.95       0   15.95    1.63 2.27925       0    0  805     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 806 PORSUD I   2    1    1  115.92       0  115.92    0.81 3.92457       0    0  806     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 807 PORSUD II  1    1    1   78.32       0   78.32    0.82  4.8963       0    0  807     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 808 POVOACAO 1 1    2    1   74.96       0   74.96    1.93 3.08722       0    0  808     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 809 VIANA 1    1    4    1   37.48       0   37.48    2.01 3.17608       0    0  809     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 812 CAV-2374        1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 813 CAV-1229        1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 814 CAV-42559       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 815 CAV-1022        1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 816 CAV-2366        1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 817 CAV-8598        1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 818 CAV-27591       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 819 CAV-27411       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 820 CAV-49057       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 821 CAV-25728       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 822 CAV-49053       1    1     385       0       0       5    9.75       0    0  551     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 833 GFSE-38954      1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 834 GFSE-39511      1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 835 GFSE-3784       1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 836 GFSE-3781       1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 837 GFSE-41173      1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 838 GFSE-38952      1    1 9167.73       0       0     2.5 4.93749       0    0  507     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 850 GISE-38954      1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 851 GISE-3748       1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 852 GISE-39511      1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 853 GISE-3784       1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 854 GISE-2948       1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 855 GISE-38952      1    1    4500       0       0     2.5 4.93749       0    0  509     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 859 RCSE-41139      1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 860 RCSE-1752       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
