$version=1
!Code,Latitude,Longitude
909,-14.52,-40.38
911,-9.54,-48.52
912,-5.46,-49.15
913,-5.46,-49.15
914,-2.52,-44.17
916,-5.98,-49.89
917,-6.03,-50.14
930,-4.37,-44.33
936,-6.44,-50.02
948,-5.98,-49.89
972,-12.4,-38.36
976,-14.23,-39.46
977,-12.98,-38.48
1001,-19.86,-50.35
1002,-21.12,-50.2
1003,-21.76,-48.99
1004,-21.3,-49.78
1005,-21.63,-47.01
1006,-22.52,-48.53
1007,-21.58,-46.62
1008,-21.6,-46.95
1009,-22.15,-48.75
1022,-23.38,-46.4
1023,-23.59,-46.18
1024,-23.68,-46.12
1025,-23.2,-46.02
1026,-23.8,-45.41
1027,-23.22,-45.85
1028,-23.32,-46.4
1029,-23.68,-45.64
1030,-23.69,-45.45
1032,-23.32,-45.73
1033,-23.21,-45.86
1034,-23.23,-45.82
1035,-23.32,-46.1
1036,-23.14,-45.92
1039,-23.76,-45.41
1040,-23.76,-45.71
1053,-23.78,-45.56
1055,-23.75,-45.77
1056,-23.43,-46.26
1057,-23.62,-46.13
1058,-23.78,-45.61
1059,-23.63,-45.43
1060,-23.33,-46.4
1061,-23.81,-45.41
1062,-23.58,-45.34
1063,-23.55,-46.18
1064,-23.48,-46.56
1065,-23.45,-46.38
1066,-23.55,-46.18
1067,-23.2,-45.89
1068,-23.06,-45.59
1069,-22.87,-45.26
1070,-22.66,-44.93
1081,-18.5,-49.49
1082,-18.5,-49.49
1083,-18.5,-49.49
1084,-18.5,-49.49
1085,-18.5,-49.49
1151,-18.15,-47.95
1152,-18.5,-49.49
1153,-18.5,-49.49
1154,-17.41,-52.48
1155,-17.81,-49.23
1156,-18.44,-50.42
1157,-17.8,-50.91
1159,-18.02,-50.35
1160,-18.15,-47.95
1162,-18.37,-49.21
1163,-17.4,-50.39
1164,-17.8,-48.62
1167,-17.63,-51.69
1169,-17.35,-52.81
1170,-16.68,-49.28
1171,-16.79,-49.24
1172,-16.79,-49.24
1173,-16.67,-49.3
1174,-16.59,-50.33
1175,-16.66,-49.26
1176,-16.75,-49.25
1177,-16.73,-49.29
1180,-16.44,-51.08
1181,-16.58,-49.32
1182,-16.58,-49.26
1183,-16.58,-49.26
1184,-16.66,-49.36
1185,-16.79,-49.24
1186,-16.64,-49.18
1187,-16.78,-49.94
1188,-16.96,-48.94
1189,-17.31,-48.29
1191,-16.74,-49.18
1192,-16.72,-49.35
1194,-16.59,-50.33
1195,-16.81,-49.31
1197,-16.64,-49.47
1199,-16.7,-49.11
1200,-18.2,-47.97
1202,-16.72,-49.35
1203,-15.54,-47.37
1204,-16.15,-47.99
1205,-15.18,-48.29
1206,-15.77,-48.28
1208,-17.81,-49.23
1209,-16.29,-48.94
1210,-15.92,-48.8
1211,-16.4,-48.94
1212,-16.36,-48.95
1214,-16.43,-49.43
1216,-15.34,-49.11
1219,-13.55,-48.23
1221,-13.45,-49.16
1223,-14.94,-49.52
1225,-16.08,-48.02
1226,-16.29,-47.61
1228,-14.48,-47.04
1229,-14.12,-46.63
1230,-16.23,-47.94
1231,-16.33,-48.9
1234,-16.09,-47.95
1235,-14.94,-49.52
1236,-15.93,-48.29
1237,-16.79,-47.89
1238,-17.99,-48.54
1240,-18.37,-49.21
1241,-17.81,-49.23
1242,-15.77,-48.28
1244,-16.78,-49.94
1245,-16.59,-51.81
1246,-16.34,-51.44
1247,-18.07,-51.17
1248,-14.49,-48.47
1249,-17.94,-51.73
1251,-16.81,-49.91
1252,-14.94,-49.52
1253,-14.58,-49.97
1254,-17.1,-47.62
1262,-13.45,-49.16
1267,-16.73,-47.62
1268,-18.14,-48.27
1269,-18.06,-48.21
1271,-18.43,-50.44
1272,-14.23,-46.27
1274,-17.75,-50.94
1278,-16.39,-48.87
1291,-15.63,-56
1293,-15.59,-56.08
1295,-15.67,-56.13
1297,-15.59,-56.13
1300,-15.55,-56.04
1302,-15.63,-56.1
1304,-15.57,-56.08
1306,-15.65,-56.2
1309,-15.55,-55.18
1310,-15.57,-54.31
1311,-15.18,-54.12
1312,-14.45,-54.04
1316,-15.98,-54.96
1317,-16.47,-54.6
1319,-16.47,-54.6
1320,-16.46,-54.64
1322,-17.31,-54.76
1323,-16.79,-54.04
1325,-17.25,-53.32
1326,-16.08,-56.57
1331,-16.5,-52.62
1332,-15.88,-52.34
1333,-14.65,-52.36
1334,-14.08,-52.15
1335,-13.55,-52.26
1336,-12.6,-52.21
1337,-11.67,-51.39
1338,-10.65,-51.56
1339,-10.03,-51.12
1340,-16.24,-56.64
1341,-16.1,-57.67
1342,-15.64,-58.17
1343,-15.48,-58.34
1344,-15.38,-58.83
1345,-15.25,-59.33
1346,-14.52,-59.55
1347,-13.65,-59.78
1350,-15.17,-53.66
1351,-14.74,-56.34
1353,-14.64,-56.27
1355,-14.74,-57.05
1356,-14.74,-57.05
1358,-14.3,-57.96
1359,-14.43,-56.43
1361,-15.04,-57.18
1363,-14.78,-57.29
1366,-15.23,-56.5
1370,-13.67,-57.9
1372,-13.54,-58.8
1373,-12.12,-58.02
1375,-11.27,-57.52
1376,-11.42,-58.77
1377,-13.81,-55.28
1378,-13.52,-55.15
1379,-16.46,-54.56
1380,-13.83,-56.08
1381,-13.44,-56.73
1383,-12.58,-55.76
1384,-11.89,-55.54
1386,-11.89,-55.54
1387,-11.84,-55.49
1388,-11.29,-58.74
1390,-11.51,-54.87
1391,-10.81,-55.45
1392,-10.16,-54.93
1393,-9.89,-56.1
1394,-13.83,-56.08
1395,-9.97,-57.45
1397,-12.24,-56.16
1398,-13.01,-55.93
1399,-10.34,-58.5
1406,-17.08,-54.87
1407,-17.59,-54.91
1409,-13.85,-53.26
1413,-9.35,-56.84
1419,-11.98,-55.52
1421,-19.46,-41.1
1423,-20.21,-42.85
1424,-18.79,-48.15
1425,-18.66,-48.44
1426,-18.45,-47.98
1427,-21.14,-45.04
1428,-19.71,-42.96
1429,-19.99,-47.76
1430,-20.02,-47.43
1431,-16.74,-42.57
1432,-21.29,-44.63
1433,-18.91,-48.04
1435,-19.13,-47.7
1436,-19.12,-42.66
1437,-21.88,-43.54
1438,-19.49,-47.54
1440,-16.21,-47.32
1441,-19.65,-42.85
1442,-17.9,-40.2
1443,-19.17,-42.78
1444,-21.98,-43.36
1445,-19.02,-50.5
1446,-18.22,-45.26
1448,-20.03,-48.22
1452,-19.02,-42.12
1456,-20.28,-42.65
1480,-21.19,-43.75
1481,-21.47,-43.53
1482,-20,-43.99
1483,-20.33,-43.78
1484,-20.33,-43.78
1485,-19.79,-45.31
1486,-22.47,-45.52
1488,-20.01,-47.44
1489,-21.71,-43.4
1491,-20.66,-43.82
1492,-20.19,-43.86
1493,-16.67,-43.82
1494,-19.42,-42.55
1496,-19.82,-44.1
1497,-19.82,-44.1
1498,-20.3,-43.76
1499,-20.3,-43.76
1500,-20.47,-45.79
1502,-19.34,-46.01
1503,-19.34,-46.01
1504,-20.07,-44.84
1505,-19.52,-44.32
1508,-19.93,-43.85
1509,-18.46,-47.99
1510,-16.73,-42.57
1511,-20.01,-47.44
1512,-19.13,-47.7
1514,-19.02,-50.49
1515,-18.21,-45.26
1516,-18.21,-45.26
1517,-20.04,-48.22
1518,-19.74,-43.91
1519,-17.59,-44.74
