$version=1
!code,Date,block,UB
2,2037/07/01,2,23000
2,2037/07/01,3,22000
2,2037/07/01,4,23000
2,2037/08/01,1,21000
2,2037/08/01,2,21000
2,2037/08/01,3,20000
2,2037/08/01,4,21000
2,2037/10/01,1,22000
2,2037/10/01,2,22000
2,2037/10/01,3,21000
2,2037/10/01,4,22000
2,2037/11/01,1,23000
2,2037/11/01,2,23000
2,2037/11/01,3,22000
2,2037/11/01,4,23000
2,2037/12/01,1,24000
2,2037/12/01,2,24000
2,2037/12/01,3,23000
2,2037/12/01,4,24000
2,2038/01/01,1,25000
2,2038/01/01,2,25000
2,2038/01/01,3,24000
2,2038/01/01,4,25000
2,2038/07/01,1,23000
2,2038/07/01,2,23000
2,2038/07/01,3,22000
2,2038/07/01,4,23000
2,2038/08/01,1,21000
2,2038/08/01,2,21000
2,2038/08/01,3,20000
2,2038/08/01,4,21000
2,2038/10/01,1,22000
2,2038/10/01,2,22000
2,2038/10/01,3,21000
2,2038/10/01,4,22000
2,2038/11/01,1,23000
2,2038/11/01,2,23000
2,2038/11/01,3,22000
2,2038/11/01,4,23000
2,2038/12/01,1,24000
2,2038/12/01,2,24000
2,2038/12/01,3,23000
2,2038/12/01,4,24000
2,2039/01/01,1,25000
2,2039/01/01,2,25000
2,2039/01/01,3,24000
2,2039/01/01,4,25000
2,2039/07/01,1,23000
2,2039/07/01,2,23000
2,2039/07/01,3,22000
2,2039/07/01,4,23000
2,2039/08/01,1,21000
2,2039/08/01,2,21000
2,2039/08/01,3,20000
2,2039/08/01,4,21000
2,2039/10/01,1,22000
2,2039/10/01,2,22000
2,2039/10/01,3,21000
2,2039/10/01,4,22000
2,2039/11/01,1,23000
2,2039/11/01,2,23000
2,2039/11/01,3,22000
2,2039/11/01,4,23000
2,2039/12/01,1,24000
2,2039/12/01,2,24000
2,2039/12/01,3,23000
2,2039/12/01,4,24000
4,2025/01/01,1,13800
4,2025/01/01,2,13800
4,2025/01/01,3,13200
4,2025/01/01,4,13800
4,2025/04/01,1,14500
4,2025/04/01,2,14500
4,2025/04/01,3,13600
4,2025/04/01,4,14500
4,2026/07/01,1,15000
4,2026/07/01,2,15000
4,2026/07/01,3,13900
4,2026/07/01,4,15000
4,2027/10/01,1,15900
4,2027/10/01,2,15900
4,2027/10/01,3,14500
4,2027/10/01,4,15900
4,2028/10/01,1,16500
4,2028/10/01,2,16500
4,2028/10/01,3,15000
4,2028/10/01,4,16500
4,2029/10/01,1,19500
4,2029/10/01,2,19500
4,2029/10/01,3,19000
4,2029/10/01,4,19500
4,2030/04/01,1,21500
4,2030/04/01,2,21500
4,2030/04/01,3,20500
4,2030/04/01,4,21500
5,2025/01/01,1,10500
5,2025/01/01,2,10500
5,2025/01/01,3,9100
5,2025/01/01,4,12300
5,2026/02/01,1,10900
5,2026/02/01,2,10900
5,2026/02/01,3,9500
5,2026/02/01,4,12700
5,2026/07/01,1,11400
5,2026/07/01,2,11400
5,2026/07/01,3,9800
5,2026/07/01,4,12700
5,2026/10/01,1,12000
5,2026/10/01,2,12000
5,2026/10/01,3,10400
5,2026/10/01,4,12700
5,2027/10/01,1,12500
5,2027/10/01,2,12500
5,2027/10/01,3,10800
5,2027/10/01,4,12700
7,2025/01/01,1,10200
7,2025/01/01,2,10200
7,2025/01/01,3,10200
7,2025/01/01,4,11400
7,2026/02/01,1,10200
7,2026/02/01,2,10200
7,2026/02/01,3,10200
7,2026/02/01,4,12000
7,2026/10/01,1,10400
7,2026/10/01,2,10400
7,2026/10/01,3,10400
7,2026/10/01,4,12200
8,2025/01/01,1,4619.005
8,2025/01/01,2,4619.005
8,2025/01/01,3,4619.005
8,2025/01/01,4,4417.46
8,2030/04/01,1,9619.323
8,2030/04/01,2,9619.323
8,2030/04/01,3,9619.323
8,2030/04/01,4,9419.081
8,2031/01/01,1,9619.323
8,2031/01/01,2,9619.323
8,2031/01/01,3,9619.323
8,2031/01/01,4,9416.467
8,2031/02/01,1,9619.323
8,2031/02/01,2,9619.323
8,2031/02/01,3,9619.323
8,2031/02/01,4,9419.911
8,2031/05/01,1,9619.323
8,2031/05/01,2,9619.323
8,2031/05/01,3,9619.323
8,2031/05/01,4,9421.239
8,2031/06/01,1,9619.323
8,2031/06/01,2,9619.323
8,2031/06/01,3,9619.323
8,2031/06/01,4,9418.954
8,2032/01/01,1,9619.323
8,2032/01/01,2,9619.323
8,2032/01/01,3,9619.323
8,2032/01/01,4,9422.245
8,2032/03/01,1,9619.323
8,2032/03/01,2,9619.323
8,2032/03/01,3,9619.323
8,2032/03/01,4,9418.021
8,2032/06/01,1,9619.323
8,2032/06/01,2,9619.323
8,2032/06/01,3,9619.323
8,2032/06/01,4,9419.911
8,2033/02/01,1,9619.323
8,2033/02/01,2,9619.323
8,2033/02/01,3,9619.323
8,2033/02/01,4,9417.996
8,2033/06/01,1,9619.323
8,2033/06/01,2,9619.323
8,2033/06/01,3,9619.323
8,2033/06/01,4,9418.021
8,2034/05/01,1,9619.323
8,2034/05/01,2,9619.323
8,2034/05/01,3,9619.323
8,2034/05/01,4,9422.245
8,2034/06/01,1,9619.323
8,2034/06/01,2,9619.323
8,2034/06/01,3,9619.323
8,2034/06/01,4,9419.005
8,2035/07/01,1,9619.323
8,2035/07/01,2,9619.323
8,2035/07/01,3,9619.323
8,2035/07/01,4,9420.763
8,2035/09/01,1,9619.323
8,2035/09/01,2,9619.323
8,2035/09/01,3,9619.323
8,2035/09/01,4,9417.81
8,2036/02/01,1,9619.323
8,2036/02/01,2,9619.323
8,2036/02/01,3,9619.323
8,2036/02/01,4,9419.938
8,2036/07/01,1,9619.323
8,2036/07/01,2,9619.323
8,2036/07/01,3,9619.323
8,2036/07/01,4,9416.934
8,2037/01/01,1,9619.323
8,2037/01/01,2,9619.323
8,2037/01/01,3,9619.323
8,2037/01/01,4,9422.268
8,2037/02/01,1,9619.323
8,2037/02/01,2,9619.323
8,2037/02/01,3,9619.323
8,2037/02/01,4,9419.938
8,2037/06/01,1,9619.323
8,2037/06/01,2,9619.323
8,2037/06/01,3,9619.323
8,2037/06/01,4,9420.064
8,2037/07/01,1,9619.323
8,2037/07/01,2,9619.323
8,2037/07/01,3,9619.323
8,2037/07/01,4,9416.96
8,2038/01/01,1,9619.323
8,2038/01/01,2,9619.323
8,2038/01/01,3,9619.323
8,2038/01/01,4,9420.349
8,2039/06/01,1,9619.323
8,2039/06/01,2,9619.323
8,2039/06/01,3,9619.323
8,2039/06/01,4,9419.203
8,2039/07/01,1,9619.323
8,2039/07/01,2,9619.323
8,2039/07/01,3,9619.323
8,2039/07/01,4,9417.038
8,2039/08/01,1,9619.323
8,2039/08/01,2,9619.323
8,2039/08/01,3,9619.323
8,2039/08/01,4,9419.832
9,2025/07/01,1,6000
9,2025/07/01,2,6000
9,2025/07/01,3,6000
9,2025/07/01,4,6000
9,2025/08/01,1,5000
9,2025/08/01,2,5000
9,2025/08/01,3,5000
9,2025/08/01,4,5000
9,2025/11/01,1,6000
9,2025/11/01,2,6000
9,2025/11/01,3,6000
9,2025/11/01,4,6000
9,2025/12/01,1,7000
9,2025/12/01,2,7000
9,2025/12/01,3,7000
9,2025/12/01,4,7000
9,2026/01/01,1,8000
9,2026/01/01,2,8000
9,2026/01/01,3,8000
9,2026/01/01,4,8000
9,2026/07/01,1,6000
9,2026/07/01,2,6000
9,2026/07/01,3,6000
9,2026/07/01,4,6000
9,2026/08/01,1,5000
9,2026/08/01,2,5000
9,2026/08/01,3,5000
9,2026/08/01,4,5000
9,2026/11/01,1,6000
9,2026/11/01,2,6000
9,2026/11/01,3,6000
9,2026/11/01,4,6000
9,2026/12/01,1,7000
9,2026/12/01,2,7000
9,2026/12/01,3,7000
9,2026/12/01,4,7000
9,2027/01/01,1,8000
9,2027/01/01,2,8000
9,2027/01/01,3,8000
9,2027/01/01,4,8000
9,2027/07/01,1,6000
9,2027/07/01,2,6000
9,2027/07/01,3,6000
9,2027/07/01,4,6000
9,2027/08/01,1,5000
9,2027/08/01,2,5000
9,2027/08/01,3,5000
9,2027/08/01,4,5000
9,2027/11/01,1,6000
9,2027/11/01,2,6000
9,2027/11/01,3,6000
9,2027/11/01,4,6000
9,2027/12/01,1,7000
9,2027/12/01,2,7000
9,2027/12/01,3,7000
9,2027/12/01,4,7000
9,2028/01/01,1,8000
9,2028/01/01,2,8000
9,2028/01/01,3,8000
9,2028/01/01,4,8000
9,2028/07/01,1,6000
9,2028/07/01,2,6000
9,2028/07/01,3,6000
9,2028/07/01,4,6000
9,2028/08/01,1,5000
9,2028/08/01,2,5000
9,2028/08/01,3,5000
9,2028/08/01,4,5000
9,2028/11/01,1,6000
9,2028/11/01,2,6000
9,2028/11/01,3,6000
9,2028/11/01,4,6000
9,2028/12/01,1,7000
9,2028/12/01,2,7000
9,2028/12/01,3,7000
9,2028/12/01,4,7000
9,2029/01/01,1,8000
9,2029/01/01,2,8000
9,2029/01/01,3,8000
9,2029/01/01,4,8000
9,2029/07/01,1,6000
9,2029/07/01,2,6000
9,2029/07/01,3,6000
9,2029/07/01,4,6000
9,2029/08/01,1,5000
9,2029/08/01,2,5000
9,2029/08/01,3,5000
9,2029/08/01,4,5000
9,2029/11/01,1,6000
9,2029/11/01,2,6000
9,2029/11/01,3,6000
9,2029/11/01,4,6000
9,2029/12/01,1,7000
9,2029/12/01,2,7000
9,2029/12/01,3,7000
9,2029/12/01,4,7000
9,2030/01/01,1,8000
9,2030/01/01,2,8000
9,2030/01/01,3,8000
9,2030/01/01,4,8000
9,2030/07/01,1,6000
9,2030/07/01,2,6000
9,2030/07/01,3,6000
9,2030/07/01,4,6000
9,2030/08/01,1,5000
9,2030/08/01,2,5000
9,2030/08/01,3,5000
9,2030/08/01,4,5000
9,2030/11/01,1,6000
9,2030/11/01,2,6000
9,2030/11/01,3,6000
9,2030/11/01,4,6000
9,2030/12/01,1,7000
9,2030/12/01,2,7000
9,2030/12/01,3,7000
9,2030/12/01,4,7000
9,2031/01/01,1,8000
9,2031/01/01,2,8000
9,2031/01/01,3,8000
9,2031/01/01,4,8000
9,2031/07/01,1,6000
9,2031/07/01,2,6000
9,2031/07/01,3,6000
9,2031/07/01,4,6000
9,2031/08/01,1,5000
9,2031/08/01,2,5000
9,2031/08/01,3,5000
9,2031/08/01,4,5000
9,2031/11/01,1,6000
9,2031/11/01,2,6000
9,2031/11/01,3,6000
9,2031/11/01,4,6000
9,2031/12/01,1,7000
9,2031/12/01,2,7000
9,2031/12/01,3,7000
9,2031/12/01,4,7000
9,2032/01/01,1,8000
9,2032/01/01,2,8000
9,2032/01/01,3,8000
9,2032/01/01,4,8000
9,2032/07/01,1,6000
9,2032/07/01,2,6000
9,2032/07/01,3,6000
9,2032/07/01,4,6000
9,2032/08/01,1,5000
9,2032/08/01,2,5000
9,2032/08/01,3,5000
9,2032/08/01,4,5000
9,2032/11/01,1,6000
9,2032/11/01,2,6000
9,2032/11/01,3,6000
9,2032/11/01,4,6000
9,2032/12/01,1,7000
9,2032/12/01,2,7000
9,2032/12/01,3,7000
9,2032/12/01,4,7000
9,2033/01/01,1,8000
9,2033/01/01,2,8000
9,2033/01/01,3,8000
9,2033/01/01,4,8000
9,2033/07/01,1,6000
9,2033/07/01,2,6000
9,2033/07/01,3,6000
9,2033/07/01,4,6000
9,2033/08/01,1,5000
9,2033/08/01,2,5000
9,2033/08/01,3,5000
9,2033/08/01,4,5000
9,2033/11/01,1,6000
9,2033/11/01,2,6000
9,2033/11/01,3,6000
9,2033/11/01,4,6000
9,2033/12/01,1,7000
9,2033/12/01,2,7000
9,2033/12/01,3,7000
9,2033/12/01,4,7000
9,2034/01/01,1,8000
9,2034/01/01,2,8000
9,2034/01/01,3,8000
9,2034/01/01,4,8000
9,2034/07/01,1,6000
9,2034/07/01,2,6000
9,2034/07/01,3,6000
9,2034/07/01,4,6000
9,2034/08/01,1,5000
9,2034/08/01,2,5000
9,2034/08/01,3,5000
9,2034/08/01,4,5000
9,2034/11/01,1,6000
9,2034/11/01,2,6000
9,2034/11/01,3,6000
9,2034/11/01,4,6000
9,2034/12/01,1,7000
9,2034/12/01,2,7000
9,2034/12/01,3,7000
9,2034/12/01,4,7000
9,2035/01/01,1,8000
9,2035/01/01,2,8000
9,2035/01/01,3,8000
9,2035/01/01,4,8000
9,2035/07/01,1,6000
9,2035/07/01,2,6000
9,2035/07/01,3,6000
9,2035/07/01,4,6000
9,2035/08/01,1,5000
9,2035/08/01,2,5000
9,2035/08/01,3,5000
9,2035/08/01,4,5000
9,2035/11/01,1,6000
9,2035/11/01,2,6000
9,2035/11/01,3,6000
9,2035/11/01,4,6000
9,2035/12/01,1,7000
9,2035/12/01,2,7000
