$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,2,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,11,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,12,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,1,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,2,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,11,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,12,2035,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,1,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,2,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2036,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
