**** Planta:   57 MAUA         Penal:    599.53776
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2033     200     200     200     200     200     200     200     317     240     200     200     200
2034     200     200     200     200     200     200     200     317     240     200     200     200
2035     200     200     200     200     200     200     200     317     240     200     200     200
2036     200     200     200     200     200     200     200     317     240     200     200     200
2037     200     200     200     200     200     200     200     317     240     200     200     200
2038     200     200     200     200     200     200     200     317     240     200     200     200
2039     200     200     200     200     200     200     200     317     240     200     200     200
**** Planta:   83 BAIXO IGUACU Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2026  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2027  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2028  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2029  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2030  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2031  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2032  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2033  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2034  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2035  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2036  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2037  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2038  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
2039  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25  256.25
**** Planta:   86 BARRA GRANDE Penal:    276.46125
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      86      87      20      16      16      16      16      16      16     100      85      84
2026      86      87      20      16      16      16      16      16      16     100      85      84
2027      86      87      20      16      16      16      16      16      16     100      85      84
2028      86      87      20      16      16      16      16      16      16     100      85      84
2029      86      87      20      16      16      16      16      16      16     100      85      84
2030      86      87      20      16      16      16      16      16      16     100      85      84
2031      86      87      20      16      16      16      16      16      16     100      85      84
2032      86      87      20      16      16      16      16      16      16     100      85      84
2033      86      87      20      16      16      16      16      16      16     100      85      84
2034      86      87      20      16      16      16      16      16      16     100      85      84
2035      86      87      20      16      16      16      16      16      16     100      85      84
2036      86      87      20      16      16      16      16      16      16     100      85      84
2037      86      87      20      16      16      16      16      16      16     100      85      84
2038      86      87      20      16      16      16      16      16      16     100      85      84
2039      86      87      20      16      16      16      16      16      16     100      85      84
**** Planta:   88 SAO ROQUE    Penal:    309.03536
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      16      16      16      16      16      16      16      16      16      16      16      16
2026      16      16      16      16      16      16      16      16      16      16      16      16
2027      16      16      16      16      16      16      16      16      16      16      16      16
2028      16      16      16      16      16      16      16      16      16      16      16      16
2029      16      16      16      16      16      16      16      16      16      16      16      16
2030      16      16      16      16      16      16      16      16      16      16      16      16
2031      16      16      16      16      16      16      16      16      16      16      16      16
2032      16      16      16      16      16      16      16      16      16      16      16      16
2033      16      16      16      16      16      16      16      16      16      16      16      16
2034      16      16      16      16      16      16      16      16      16      16      16      16
2035      16      16      16      16      16      16      16      16      16      16      16      16
2036      16      16      16      16      16      16      16      16      16      16      16      16
2037      16      16      16      16      16      16      16      16      16      16      16      16
2038      16      16      16      16      16      16      16      16      16      16      16      16
2039      16      16      16      16      16      16      16      16      16      16      16      16
2040      16      16      16      16      16      16      16      16      16      16      16      16
**** Planta:   89 GARIBALDI    Penal:    894.23038
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     116     116     116     116     116     116     116     116     116     116     116     116
2026     116     116     116     116     116     116     116     116     116     116     116     116
2027     116     116     116     116     116     116     116     116     116     116     116     116
2028     116     116     116     116     116     116     116     116     116     116     116     116
2029     116     116     116     116     116     116     116     116     116     116     116     116
2030     116     116     116     116     116     116     116     116     116     116     116     116
2031     116     116     116     116     116     116     116     116     116     116     116     116
2032     116     116     116     116     116     116     116     116     116     116     116     116
2033     116     116     116     116     116     116     116     116     116     116     116     116
2034     116     116     116     116     116     116     116     116     116     116     116     116
2035     116     116     116     116     116     116     116     116     116     116     116     116
2036     116     116     116     116     116     116     116     116     116     116     116     116
2037     116     116     116     116     116     116     116     116     116     116     116     116
2038     116     116     116     116     116     116     116     116     116     116     116     116
2039     116     116     116     116     116     116     116     116     116     116     116     116
**** Planta:   90 CAMPOS NOVOS Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       0       0       0       0       5       0       0       0       0       0       0
2026       0       0       0       0       0       5       0       0       0       0       0       0
2027       0       0       0       0       0       5       0       0       0       0       0       0
2028       0       0       0       0       0       5       0       0       0       0       0       0
2029       0       0       0       0       0       5       0       0       0       0       0       0
2030       0       0       0       0       0       5       0       0       0       0       0       0
2031       0       0       0       0       0       5       0       0       0       0       0       0
2032       0       0       0       0       0       5       0       0       0       0       0       0
2033       0       0       0       0       0       5       0       0       0       0       0       0
