NUM: 117 GUARAPIRANGA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2035  2.49  2.47  2.34  2.49  2.47  2.51  2.67  2.93  3.29  3.49  3.54  2.79
2036  2.49  2.51  2.35  2.51  2.49  2.53  2.68  2.93  3.29  3.46  3.51  2.78
2037  2.49  2.48  2.36  2.53  2.52  2.55  2.69  2.94  3.27  3.43  3.47  2.76
2038  2.49  2.48  2.37  2.56  2.54  2.56  2.71  2.94  3.25  3.39  3.43  2.75
2039  2.49  2.48  2.38  2.58  2.56  2.58  2.72  2.95  3.23  3.35  3.38  2.73
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 124 LAJES                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  4.17  4.17  4.17  4.18  4.18  4.18  4.18  4.18  4.18  4.18  4.18  4.19
2026  4.19  4.19  4.19  4.19   4.2   4.2   4.2   4.2   4.2   4.2   4.2   4.2
2027   4.2   4.2  4.21  4.21  4.21  4.21  4.21  4.22  4.22  4.22  4.22  4.22
2028  4.22  4.22  4.22  4.22  4.23  4.23  4.23  4.23  4.23  4.23  4.23  4.23
2029  4.23  4.23  4.23  4.24  4.24  4.24  4.24  4.24  4.24  4.24  4.24  4.24
2030  4.24  4.25  4.25  4.25  4.25  4.25  4.25  4.25  4.26  4.25  4.25  4.25
2031  4.26  4.26  4.26  4.26  4.26  4.26  4.26  4.27  4.27  4.27  4.26  4.26
2032  4.27  4.27  4.27  4.27  4.27  4.27  4.27  4.28  4.28  4.27  4.27  4.27
2033  4.27  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28
2034  4.28  4.28  4.28  4.29  4.29  4.29  4.29  4.29  4.29  4.29  4.29  4.29
2035  4.29  4.29  4.29  4.29   4.3   4.3   4.3   4.3   4.3   4.3   4.3  4.29
2036   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3
2037   4.3   4.3   4.3  4.31  4.31  4.31  4.31  4.31  4.31  4.31   4.3   4.3
2038   4.3  4.31   4.3  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31
2039  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 126 PICADA                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  1.07  1.07  1.07   1.1   1.1   1.1   1.1  1.11   1.1  1.09  1.07  1.07
2026  1.07  1.07  1.07   1.1   1.1   1.1  1.11  1.11   1.1  1.09  1.07  1.07
2027  1.07  1.07  1.07  1.11   1.1   1.1  1.11  1.11   1.1  1.09  1.07  1.07
2028  1.07  1.07  1.07  1.11   1.1   1.1  1.11  1.11  1.11  1.09  1.07  1.07
2029  1.07  1.08  1.07  1.11   1.1   1.1  1.11  1.12  1.11  1.09  1.07  1.07
2030  1.07  1.08  1.07  1.11  1.11   1.1  1.11  1.12  1.11   1.1  1.07  1.07
2031  1.07  1.08  1.08  1.11  1.11  1.11  1.11  1.12  1.11   1.1  1.07  1.07
2032  1.07  1.08  1.08  1.11  1.11  1.11  1.12  1.12  1.11   1.1  1.07  1.07
2033  1.07  1.08  1.08  1.12  1.11  1.11  1.12  1.12  1.11   1.1  1.07  1.07
2034  1.07  1.08  1.08  1.12  1.11  1.11  1.12  1.13  1.12   1.1  1.07  1.07
2035  1.07  1.08  1.08  1.12  1.11  1.11  1.12  1.13  1.12   1.1  1.07  1.07
2036  1.07  1.08  1.08  1.12  1.12  1.11  1.12  1.13  1.12   1.1  1.08  1.07
2037  1.07  1.08  1.08  1.12  1.12  1.11  1.12  1.13  1.12   1.1  1.08  1.07
2038  1.07  1.08  1.08  1.12  1.12  1.12  1.13  1.13  1.12  1.11  1.08  1.07
2039  1.07  1.08  1.08  1.12  1.12  1.12  1.13  1.13  1.12  1.11  1.08  1.07
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 127 SOBRAGI               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  1.41  1.42  1.42  1.49  1.48  1.48   1.5  1.52   1.5  1.46  1.41  1.41
2026  1.41  1.43  1.42  1.49  1.49  1.49  1.51  1.52   1.5  1.47  1.42  1.41
2027  1.41  1.43  1.42   1.5  1.49  1.49  1.51  1.53  1.51  1.47  1.42  1.41
2028  1.41  1.43  1.43   1.5   1.5   1.5  1.52  1.53  1.51  1.47  1.42  1.41
2029  1.42  1.43  1.43  1.51   1.5   1.5  1.52  1.54  1.52  1.48  1.42  1.42
2030  1.42  1.44  1.43  1.51  1.51  1.51  1.53  1.55  1.52  1.48  1.43  1.42
2031  1.42  1.44  1.44  1.52  1.51  1.51  1.53  1.55  1.53  1.49  1.43  1.42
2032  1.42  1.44  1.44  1.52  1.52  1.51  1.54  1.56  1.53  1.49  1.43  1.42
2033  1.42  1.45  1.44  1.53  1.52  1.52  1.54  1.56  1.54  1.49  1.43  1.43
2034  1.43  1.45  1.44  1.53  1.52  1.52  1.55  1.57  1.54   1.5  1.43  1.43
2035  1.43  1.45  1.45  1.54  1.53  1.53  1.55  1.57  1.54   1.5  1.44  1.43
2036  1.43  1.45  1.45  1.54  1.53  1.53  1.56  1.58  1.55   1.5  1.44  1.43
2037  1.43  1.45  1.45  1.54  1.54  1.54  1.56  1.58  1.55  1.51  1.44  1.43
