**** Fuel:    201 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2037  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07
2038  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07
2039  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07  744.07
**** Fuel:    327 DIESEL      
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24 1346.24
2026 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07
2027 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89 1351.89
2028 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71 1354.71
2029 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53 1357.53
2030 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35 1360.35
2031 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76 1361.76
2032 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58 1364.58
2033 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07 1349.07
2034 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
2035 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
2036 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
2037 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
2038 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
2039 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37 1336.37
**** Fuel:    547 GAS (547)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     854     854     854     854     854     854     854     854     854     854     854     854
2026     853     853     853     853     853     853     853     853     853     853     853     853
2027     827     827     827     827     827     827     827     827     827     827     827     827
2028     902     902     902     902     902     902     902     902     902     902     902     902
2029     906     906     906     906     906     906     906     906     906     906     906     906
2030     911     911     911     911     911     911     911     911     911     911     911     911
2031     917     917     917     917     917     917     917     917     917     917     917     917
2032     923     923     923     923     923     923     923     923     923     923     923     923
2033     928     928     928     928     928     928     928     928     928     928     928     928
2034     935     935     935     935     935     935     935     935     935     935     935     935
2035     939     939     939     939     939     939     939     939     939     939     939     939
2036     945     945     945     945     945     945     945     945     945     945     945     945
