**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2035   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
2036   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
2037   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
2038   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
2039   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
**** Fuel:     53 OLEO (53)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27
2026 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18
2027 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58
2028 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98
2029 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38
2030 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78
2031 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48
2032 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88
2033 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18
2034 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2035 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2036 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2037 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2038 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2039 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
**** Fuel:     55 OLEO (55)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27 1509.27
2026 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18
2027 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58 1584.58
