$version=1
!code,Date,block,MinFlow,MaxFlow,MinFlowEmergency,MaxFlowEmergency
10978,1900/01/01,3,9999,9999,9999,9999
10978,1900/01/01,4,9999,9999,9999,9999
10979,1900/01/01,1,9999,9999,9999,9999
10979,1900/01/01,2,9999,9999,9999,9999
10979,1900/01/01,3,9999,9999,9999,9999
10979,1900/01/01,4,9999,9999,9999,9999
10980,1900/01/01,1,9999,9999,9999,9999
10980,1900/01/01,2,9999,9999,9999,9999
10980,1900/01/01,3,9999,9999,9999,9999
10980,1900/01/01,4,9999,9999,9999,9999
10981,1900/01/01,1,9999,9999,9999,9999
