**** Planta:  117 GUARAPIRANGA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2029 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2030 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2031 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2032 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2033 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2034 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2035 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2036 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2037 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2038 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2039 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
**** Planta:  162 QUEIMADO    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2026 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2027 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2028 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2029 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2030 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2031 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2032 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2033 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2034 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2035 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2036 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2037 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2038 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
2039 497.434 520.983 544.995     557     557     557     557     557     557     557  461.88 473.885
