$version=1
!code,Date,block,Pp,Pi,Pz
151,2033/01/01,1,17.69,0,0
151,2033/01/01,2,17.69,0,0
151,2033/01/01,3,17.69,0,0
151,2033/01/01,4,17.69,0,0
151,2034/01/01,1,18.15,0,0
151,2034/01/01,2,18.15,0,0
151,2034/01/01,3,18.15,0,0
151,2034/01/01,4,18.15,0,0
151,2035/01/01,1,18.63,0,0
151,2035/01/01,2,18.63,0,0
151,2035/01/01,3,18.63,0,0
151,2035/01/01,4,18.63,0,0
151,2036/01/01,1,19.11,0,0
151,2036/01/01,2,19.11,0,0
151,2036/01/01,3,19.11,0,0
151,2036/01/01,4,19.11,0,0
151,2037/01/01,1,19.61,0,0
151,2037/01/01,2,19.61,0,0
151,2037/01/01,3,19.61,0,0
151,2037/01/01,4,19.61,0,0
151,2038/01/01,1,20.12,0,0
151,2038/01/01,2,20.12,0,0
151,2038/01/01,3,20.12,0,0
151,2038/01/01,4,20.12,0,0
151,2039/01/01,1,20.64,0,0
151,2039/01/01,2,20.64,0,0
151,2039/01/01,3,20.64,0,0
151,2039/01/01,4,20.64,0,0
151,2040/01/01,1,21.18,0,0
151,2040/01/01,2,21.18,0,0
151,2040/01/01,3,21.18,0,0
151,2040/01/01,4,21.18,0,0
152,1900/01/01,1,12,0,0
152,1900/01/01,2,12,0,0
152,1900/01/01,3,12,0,0
152,1900/01/01,4,12,0,0
152,2030/01/01,1,12.32,0,0
152,2030/01/01,2,12.32,0,0
152,2030/01/01,3,12.32,0,0
152,2030/01/01,4,12.32,0,0
152,2031/01/01,1,12.64,0,0
152,2031/01/01,2,12.64,0,0
152,2031/01/01,3,12.64,0,0
152,2031/01/01,4,12.64,0,0
152,2032/01/01,1,12.97,0,0
152,2032/01/01,2,12.97,0,0
152,2032/01/01,3,12.97,0,0
152,2032/01/01,4,12.97,0,0
152,2033/01/01,1,13.3,0,0
152,2033/01/01,2,13.3,0,0
152,2033/01/01,3,13.3,0,0
152,2033/01/01,4,13.3,0,0
152,2034/01/01,1,13.65,0,0
152,2034/01/01,2,13.65,0,0
152,2034/01/01,3,13.65,0,0
152,2034/01/01,4,13.65,0,0
152,2035/01/01,1,14,0,0
152,2035/01/01,2,14,0,0
152,2035/01/01,3,14,0,0
152,2035/01/01,4,14,0,0
152,2036/01/01,1,14.37,0,0
152,2036/01/01,2,14.37,0,0
152,2036/01/01,3,14.37,0,0
152,2036/01/01,4,14.37,0,0
152,2037/01/01,1,14.74,0,0
152,2037/01/01,2,14.74,0,0
152,2037/01/01,3,14.74,0,0
152,2037/01/01,4,14.74,0,0
152,2038/01/01,1,15.12,0,0
152,2038/01/01,2,15.12,0,0
152,2038/01/01,3,15.12,0,0
152,2038/01/01,4,15.12,0,0
152,2039/01/01,1,15.52,0,0
152,2039/01/01,2,15.52,0,0
152,2039/01/01,3,15.52,0,0
152,2039/01/01,4,15.52,0,0
152,2040/01/01,1,15.92,0,0
152,2040/01/01,2,15.92,0,0
152,2040/01/01,3,15.92,0,0
152,2040/01/01,4,15.92,0,0
153,1900/01/01,1,7.248,0,0
153,1900/01/01,2,7.248,0,0
153,1900/01/01,3,7.248,0,0
153,1900/01/01,4,7.248,0,0
153,2030/01/01,1,7.436,0,0
153,2030/01/01,2,7.436,0,0
153,2030/01/01,3,7.436,0,0
153,2030/01/01,4,7.436,0,0
153,2031/01/01,1,7.63,0,0
153,2031/01/01,2,7.63,0,0
153,2031/01/01,3,7.63,0,0
153,2031/01/01,4,7.63,0,0
153,2032/01/01,1,7.828,0,0
153,2032/01/01,2,7.828,0,0
153,2032/01/01,3,7.828,0,0
153,2032/01/01,4,7.828,0,0
153,2033/01/01,1,8.032,0,0
153,2033/01/01,2,8.032,0,0
153,2033/01/01,3,8.032,0,0
153,2033/01/01,4,8.032,0,0
153,2034/01/01,1,8.24,0,0
153,2034/01/01,2,8.24,0,0
153,2034/01/01,3,8.24,0,0
153,2034/01/01,4,8.24,0,0
153,2035/01/01,1,8.455,0,0
153,2035/01/01,2,8.455,0,0
153,2035/01/01,3,8.455,0,0
153,2035/01/01,4,8.455,0,0
153,2036/01/01,1,8.674,0,0
153,2036/01/01,2,8.674,0,0
153,2036/01/01,3,8.674,0,0
153,2036/01/01,4,8.674,0,0
153,2037/01/01,1,8.9,0,0
153,2037/01/01,2,8.9,0,0
153,2037/01/01,3,8.9,0,0
153,2037/01/01,4,8.9,0,0
153,2038/01/01,1,9.131,0,0
153,2038/01/01,2,9.131,0,0
153,2038/01/01,3,9.131,0,0
153,2038/01/01,4,9.131,0,0
153,2039/01/01,1,9.369,0,0
153,2039/01/01,2,9.369,0,0
153,2039/01/01,3,9.369,0,0
153,2039/01/01,4,9.369,0,0
153,2040/01/01,1,9.612,0,0
153,2040/01/01,2,9.612,0,0
153,2040/01/01,3,9.612,0,0
153,2040/01/01,4,9.612,0,0
154,1900/01/01,1,10.42,0,0
154,1900/01/01,2,10.42,0,0
154,1900/01/01,3,10.42,0,0
154,1900/01/01,4,10.42,0,0
154,2030/01/01,1,10.69,0,0
154,2030/01/01,2,10.69,0,0
154,2030/01/01,3,10.69,0,0
154,2030/01/01,4,10.69,0,0
154,2031/01/01,1,10.97,0,0
154,2031/01/01,2,10.97,0,0
154,2031/01/01,3,10.97,0,0
154,2031/01/01,4,10.97,0,0
154,2032/01/01,1,11.25,0,0
154,2032/01/01,2,11.25,0,0
154,2032/01/01,3,11.25,0,0
154,2032/01/01,4,11.25,0,0
154,2033/01/01,1,11.55,0,0
154,2033/01/01,2,11.55,0,0
154,2033/01/01,3,11.55,0,0
154,2033/01/01,4,11.55,0,0
154,2034/01/01,1,11.85,0,0
154,2034/01/01,2,11.85,0,0
154,2034/01/01,3,11.85,0,0
154,2034/01/01,4,11.85,0,0
154,2035/01/01,1,12.15,0,0
154,2035/01/01,2,12.15,0,0
154,2035/01/01,3,12.15,0,0
154,2035/01/01,4,12.15,0,0
