$version=1
!D/MM/YYYY  .Num ....Name.... KeyWord     Blck .....Value
01/01/2029    16 MA -> XI     CapacTF        3   844.4529     
01/01/2029    16 MA -> XI     CapacTF        4   674.3052     
01/02/2029    16 MA -> XI     CapacTF        1   981.0142     
01/02/2029    16 MA -> XI     CapacTF        2   981.0142     
01/02/2029    16 MA -> XI     CapacTF        3   857.0078     
01/02/2029    16 MA -> XI     CapacTF        4   701.9782     
01/03/2029    16 MA -> XI     CapacTF        1   997.5637     
01/03/2029    16 MA -> XI     CapacTF        2   997.5637     
01/03/2029    16 MA -> XI     CapacTF        3   883.6047     
01/03/2029    16 MA -> XI     CapacTF        4   720.5517     
01/04/2029    16 MA -> XI     CapacTF        1   1012.692     
01/04/2029    16 MA -> XI     CapacTF        2   1012.692     
01/04/2029    16 MA -> XI     CapacTF        3   894.7432     
01/04/2029    16 MA -> XI     CapacTF        4   742.9256     
01/05/2029    16 MA -> XI     CapacTF        1   1061.077     
01/05/2029    16 MA -> XI     CapacTF        2   1061.077     
01/05/2029    16 MA -> XI     CapacTF        3   925.0852     
01/05/2029    16 MA -> XI     CapacTF        4   770.2084     
01/06/2029    16 MA -> XI     CapacTF        1   1046.919     
01/06/2029    16 MA -> XI     CapacTF        2   1046.919     
01/06/2029    16 MA -> XI     CapacTF        3        933     
01/06/2029    16 MA -> XI     CapacTF        4    765.993     
01/07/2029     8 SE -> XI     CapacTF        *       6000     
01/07/2029    16 MA -> XI     CapacTF        1   1133.661     
01/07/2029    16 MA -> XI     CapacTF        2   1133.661     
01/07/2029    16 MA -> XI     CapacTF        3   1016.664     
01/07/2029    16 MA -> XI     CapacTF        4   824.7188     
01/08/2029     8 SE -> XI     CapacTF        *       5000     
01/08/2029    16 MA -> XI     CapacTF        1   1206.532     
01/08/2029    16 MA -> XI     CapacTF        2   1206.532     
01/08/2029    16 MA -> XI     CapacTF        3   1082.519     
01/08/2029    16 MA -> XI     CapacTF        4    874.404     
01/09/2029    16 MA -> XI     CapacTF        1   1242.497     
01/09/2029    16 MA -> XI     CapacTF        2   1242.497     
01/09/2029    16 MA -> XI     CapacTF        3   1105.576     
01/09/2029    16 MA -> XI     CapacTF        4   892.4544     
01/10/2029     2 SE -> NE     CapacTF        1    13199.8     
01/10/2029     2 SE -> NE     CapacTF        2    13199.8     
01/10/2029     2 SE -> NE     CapacTF        3   11999.93     
01/10/2029     2 SE -> NE     CapacTF        4   13201.07     
01/10/2029    11 NE -> IM     CapacFT        *       7500     
01/10/2029    16 MA -> XI     CapacTF        1   1220.856     
01/10/2029    16 MA -> XI     CapacTF        2   1220.856     
01/10/2029    16 MA -> XI     CapacTF        3   1083.919     
01/10/2029    16 MA -> XI     CapacTF        4   905.9232     
01/11/2029     8 SE -> XI     CapacTF        *       6000     
01/11/2029    16 MA -> XI     CapacTF        1   1210.255     
01/11/2029    16 MA -> XI     CapacTF        2   1210.255     
01/11/2029    16 MA -> XI     CapacTF        3    1045.22     
01/11/2029    16 MA -> XI     CapacTF        4    848.007     
01/12/2029     8 SE -> XI     CapacTF        *       7000     
01/12/2029    16 MA -> XI     CapacTF        1   1094.688     
01/12/2029    16 MA -> XI     CapacTF        2   1094.688     
01/12/2029    16 MA -> XI     CapacTF        3    950.688     
01/12/2029    16 MA -> XI     CapacTF        4     771.84     
01/01/2030     8 SE -> XI     CapacTF        *       8000     
01/01/2030    16 MA -> XI     CapacTF        1   1009.573     
01/01/2030    16 MA -> XI     CapacTF        2   1009.573     
01/01/2030    16 MA -> XI     CapacTF        3   865.6947     
01/01/2030    16 MA -> XI     CapacTF        4     681.72     
01/02/2030    16 MA -> XI     CapacTF        1   1015.495     
01/02/2030    16 MA -> XI     CapacTF        2   1015.495     
01/02/2030    16 MA -> XI     CapacTF        3   881.5734     
01/02/2030    16 MA -> XI     CapacTF        4   711.7134     
01/03/2030    16 MA -> XI     CapacTF        1   1033.367     
01/03/2030    16 MA -> XI     CapacTF        2   1033.367     
01/03/2030    16 MA -> XI     CapacTF        3   910.3059     
01/03/2030    16 MA -> XI     CapacTF        4   730.2988     
01/04/2030     2 SE -> NE     CapacTF        1   14000.04     
01/04/2030     2 SE -> NE     CapacTF        2   14000.04     
01/04/2030     2 SE -> NE     CapacTF        3   13000.71     
01/04/2030     2 SE -> NE     CapacTF        4   13998.69     
01/04/2030     7 SE -> IM     CapacFT        *       9100     
01/04/2030     7 SE -> IM     CapacTF        1   9619.323     
01/04/2030     7 SE -> IM     CapacTF        2   9619.323     
01/04/2030     7 SE -> IM     CapacTF        3   9619.323     
01/04/2030     7 SE -> IM     CapacTF        4   9419.081     
01/04/2030    16 MA -> XI     CapacTF        1    1049.07     
01/04/2030    16 MA -> XI     CapacTF        2    1049.07     
01/04/2030    16 MA -> XI     CapacTF        3    923.032     
01/04/2030    16 MA -> XI     CapacTF        4   755.9475     
01/05/2030     2 SE -> NE     CapacTF        4   14001.89     
01/05/2030    16 MA -> XI     CapacTF        1   1096.487     
01/05/2030    16 MA -> XI     CapacTF        2   1096.487     
01/05/2030    16 MA -> XI     CapacTF        3   951.5003     
01/05/2030    16 MA -> XI     CapacTF        4    780.623     
01/06/2030    16 MA -> XI     CapacTF        1   1083.264     
01/06/2030    16 MA -> XI     CapacTF        2   1083.264     
01/06/2030    16 MA -> XI     CapacTF        3    961.152     
01/06/2030    16 MA -> XI     CapacTF        4     776.16     
01/07/2030     2 SE -> NE     CapacTF        4   13998.83     
01/07/2030     8 SE -> XI     CapacTF        *       6000     
01/07/2030    16 MA -> XI     CapacTF        1   1172.965     
01/07/2030    16 MA -> XI     CapacTF        2   1172.965     
01/07/2030    16 MA -> XI     CapacTF        3   1047.938     
01/07/2030    16 MA -> XI     CapacTF        4    837.108     
01/08/2030     8 SE -> XI     CapacTF        *       5000     
01/08/2030    16 MA -> XI     CapacTF        1    1247.29     
01/08/2030    16 MA -> XI     CapacTF        2    1247.29     
01/08/2030    16 MA -> XI     CapacTF        3    1116.17     
01/08/2030    16 MA -> XI     CapacTF        4     888.25     
01/09/2030    16 MA -> XI     CapacTF        1   1286.399     
01/09/2030    16 MA -> XI     CapacTF        2   1286.399     
01/09/2030    16 MA -> XI     CapacTF        3   1141.405     
01/09/2030    16 MA -> XI     CapacTF        4   909.2109     
01/10/2030    16 MA -> XI     CapacTF        1   1264.162     
01/10/2030    16 MA -> XI     CapacTF        2   1264.162     
01/10/2030    16 MA -> XI     CapacTF        3   1118.137     
01/10/2030    16 MA -> XI     CapacTF        4    924.075     
01/11/2030     8 SE -> XI     CapacTF        *       6000     
01/11/2030    16 MA -> XI     CapacTF        1   1251.376     
01/11/2030    16 MA -> XI     CapacTF        2   1251.376     
01/11/2030    16 MA -> XI     CapacTF        3   1075.512     
01/11/2030    16 MA -> XI     CapacTF        4    865.656     
01/12/2030     8 SE -> XI     CapacTF        *       7000     
01/12/2030    16 MA -> XI     CapacTF        1   1134.243     
01/12/2030    16 MA -> XI     CapacTF        2   1134.243     
01/12/2030    16 MA -> XI     CapacTF        3    980.199     
01/12/2030    16 MA -> XI     CapacTF        4    787.149     
01/01/2031     3 SE -> AR     CapacFT        *        950     
01/01/2031     7 SE -> IM     CapacTF        4   9416.467     
01/01/2031     8 SE -> XI     CapacTF        *       8000     
01/01/2031    16 MA -> XI     CapacTF        1   1046.083     
01/01/2031    16 MA -> XI     CapacTF        2   1046.083     
01/01/2031    16 MA -> XI     CapacTF        3   891.0525     
01/01/2031    16 MA -> XI     CapacTF        4      691.9     
01/02/2031     2 SE -> NE     CapacTF        4   13998.16     
01/02/2031     7 SE -> IM     CapacTF        4   9419.911     
01/02/2031    16 MA -> XI     CapacTF        1   1052.519     
01/02/2031    16 MA -> XI     CapacTF        2   1052.519     
01/02/2031    16 MA -> XI     CapacTF        3   908.5665     
01/02/2031    16 MA -> XI     CapacTF        4   723.7218     
01/03/2031    16 MA -> XI     CapacTF        1   1070.496     
