$version=1
!code,Date,block,Phase
11032,1900/01/01,1,0
11032,1900/01/01,2,0
11032,1900/01/01,3,0
11032,1900/01/01,4,0
11033,1900/01/01,1,0
11033,1900/01/01,2,0
11033,1900/01/01,3,0
11033,1900/01/01,4,0
11034,1900/01/01,1,0
11034,1900/01/01,2,0
11034,1900/01/01,3,0
11034,1900/01/01,4,0
11035,1900/01/01,1,0
11035,1900/01/01,2,0
11035,1900/01/01,3,0
11035,1900/01/01,4,0
11036,1900/01/01,1,0
11036,1900/01/01,2,0
11036,1900/01/01,3,0
11036,1900/01/01,4,0
11037,1900/01/01,1,0
11037,1900/01/01,2,0
11037,1900/01/01,3,0
11037,1900/01/01,4,0
11038,1900/01/01,1,0
11038,1900/01/01,2,0
11038,1900/01/01,3,0
11038,1900/01/01,4,0
11039,1900/01/01,1,0
11039,1900/01/01,2,0
11039,1900/01/01,3,0
11039,1900/01/01,4,0
11040,1900/01/01,1,0
11040,1900/01/01,2,0
11040,1900/01/01,3,0
11040,1900/01/01,4,0
11041,1900/01/01,1,0
11041,1900/01/01,2,0
11041,1900/01/01,3,0
11041,1900/01/01,4,0
11042,1900/01/01,1,0
11042,1900/01/01,2,0
11042,1900/01/01,3,0
11042,1900/01/01,4,0
11043,1900/01/01,1,0
11043,1900/01/01,2,0
11043,1900/01/01,3,0
11043,1900/01/01,4,0
11044,1900/01/01,1,0
11044,1900/01/01,2,0
11044,1900/01/01,3,0
11044,1900/01/01,4,0
11045,1900/01/01,1,0
11045,1900/01/01,2,0
11045,1900/01/01,3,0
11045,1900/01/01,4,0
11046,1900/01/01,1,0
11046,1900/01/01,2,0
11046,1900/01/01,3,0
11046,1900/01/01,4,0
11047,1900/01/01,1,0
11047,1900/01/01,2,0
11047,1900/01/01,3,0
11047,1900/01/01,4,0
11048,1900/01/01,1,0
11048,1900/01/01,2,0
11048,1900/01/01,3,0
11048,1900/01/01,4,0
11049,1900/01/01,1,0
11049,1900/01/01,2,0
11049,1900/01/01,3,0
11049,1900/01/01,4,0
11050,1900/01/01,1,0
11050,1900/01/01,2,0
11050,1900/01/01,3,0
11050,1900/01/01,4,0
11051,1900/01/01,1,0
11051,1900/01/01,2,0
11051,1900/01/01,3,0
11051,1900/01/01,4,0
11052,1900/01/01,1,0
11052,1900/01/01,2,0
11052,1900/01/01,3,0
11052,1900/01/01,4,0
11053,1900/01/01,1,0
11053,1900/01/01,2,0
11053,1900/01/01,3,0
11053,1900/01/01,4,0
11054,1900/01/01,1,0
11054,1900/01/01,2,0
11054,1900/01/01,3,0
11054,1900/01/01,4,0
11055,1900/01/01,1,0
11055,1900/01/01,2,0
11055,1900/01/01,3,0
11055,1900/01/01,4,0
11056,1900/01/01,1,0
11056,1900/01/01,2,0
11056,1900/01/01,3,0
11056,1900/01/01,4,0
11057,1900/01/01,1,0
11057,1900/01/01,2,0
11057,1900/01/01,3,0
11057,1900/01/01,4,0
11058,1900/01/01,1,0
11058,1900/01/01,2,0
11058,1900/01/01,3,0
11058,1900/01/01,4,0
11059,1900/01/01,1,0
11059,1900/01/01,2,0
11059,1900/01/01,3,0
11059,1900/01/01,4,0
11060,1900/01/01,1,0
11060,1900/01/01,2,0
11060,1900/01/01,3,0
11060,1900/01/01,4,0
11061,1900/01/01,1,0
11061,1900/01/01,2,0
11061,1900/01/01,3,0
11061,1900/01/01,4,0
11062,1900/01/01,1,0
11062,1900/01/01,2,0
11062,1900/01/01,3,0
11062,1900/01/01,4,0
11063,1900/01/01,1,0
11063,1900/01/01,2,0
11063,1900/01/01,3,0
11063,1900/01/01,4,0
11064,1900/01/01,1,0
11064,1900/01/01,2,0
11064,1900/01/01,3,0
11064,1900/01/01,4,0
11065,1900/01/01,1,0
11065,1900/01/01,2,0
11065,1900/01/01,3,0
11065,1900/01/01,4,0
11066,1900/01/01,1,0
11066,1900/01/01,2,0
11066,1900/01/01,3,0
11066,1900/01/01,4,0
11067,1900/01/01,1,0
11067,1900/01/01,2,0
11067,1900/01/01,3,0
11067,1900/01/01,4,0
11068,1900/01/01,1,0
11068,1900/01/01,2,0
11068,1900/01/01,3,0
11068,1900/01/01,4,0
11069,1900/01/01,1,0
11069,1900/01/01,2,0
11069,1900/01/01,3,0
11069,1900/01/01,4,0
11070,1900/01/01,1,0
11070,1900/01/01,2,0
11070,1900/01/01,3,0
11070,1900/01/01,4,0
11071,1900/01/01,1,0
11071,1900/01/01,2,0
11071,1900/01/01,3,0
11071,1900/01/01,4,0
11072,1900/01/01,1,0
11072,1900/01/01,2,0
11072,1900/01/01,3,0
11072,1900/01/01,4,0
11073,1900/01/01,1,0
11073,1900/01/01,2,0
11073,1900/01/01,3,0
11073,1900/01/01,4,0
11074,1900/01/01,1,0
11074,1900/01/01,2,0
11074,1900/01/01,3,0
11074,1900/01/01,4,0
11075,1900/01/01,1,0
11075,1900/01/01,2,0
11075,1900/01/01,3,0
11075,1900/01/01,4,0
11076,1900/01/01,1,0
11076,1900/01/01,2,0
11076,1900/01/01,3,0
11076,1900/01/01,4,0
11077,1900/01/01,1,0
11077,1900/01/01,2,0
11077,1900/01/01,3,0
11077,1900/01/01,4,0
11078,1900/01/01,1,0
11078,1900/01/01,2,0
11078,1900/01/01,3,0
11078,1900/01/01,4,0
11079,1900/01/01,1,0
11079,1900/01/01,2,0
11079,1900/01/01,3,0
11079,1900/01/01,4,0
11080,1900/01/01,1,0
11080,1900/01/01,2,0
11080,1900/01/01,3,0
11080,1900/01/01,4,0
11081,1900/01/01,1,0
11081,1900/01/01,2,0
11081,1900/01/01,3,0
11081,1900/01/01,4,0
11082,1900/01/01,1,0
11082,1900/01/01,2,0
11082,1900/01/01,3,0
11082,1900/01/01,4,0
11083,1900/01/01,1,0
11083,1900/01/01,2,0
11083,1900/01/01,3,0
11083,1900/01/01,4,0
11084,1900/01/01,1,0
11084,1900/01/01,2,0
11084,1900/01/01,3,0
11084,1900/01/01,4,0
11085,1900/01/01,1,0
11085,1900/01/01,2,0
11085,1900/01/01,3,0
11085,1900/01/01,4,0
