****   8.3288 103 SINOP        :>: H: 227                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2026   4     759     802     768     903     678     452     368     130      34     188     254     295
2027   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2027   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2027   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2027   4     759     802     768     903     678     452     368     130      34     188     254     295
2028   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2028   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2028   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2028   4     759     802     768     903     678     452     368     130      34     188     254     295
2029   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2029   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2029   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2029   4     759     802     768     903     678     452     368     130      34     188     254     295
2030   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2030   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2030   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2030   4     759     802     768     903     678     452     368     130      34     188     254     295
2031   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2031   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2031   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2031   4     759     802     768     903     678     452     368     130      34     188     254     295
2032   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2032   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2032   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2032   4     759     802     768     903     678     452     368     130      34     188     254     295
2033   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2033   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2033   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2033   4     759     802     768     903     678     452     368     130      34     188     254     295
2034   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2034   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2034   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2034   4     759     802     768     903     678     452     368     130      34     188     254     295
2035   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2035   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2035   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2035   4     759     802     768     903     678     452     368     130      34     188     254     295
2036   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2036   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2036   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2036   4     759     802     768     903     678     452     368     130      34     188     254     295
2037   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2037   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2037   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2037   4     759     802     768     903     678     452     368     130      34     188     254     295
2038   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2038   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2038   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2038   4     759     802     768     903     678     452     368     130      34     188     254     295
2039   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2039   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2039   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2039   4     759     802     768     903     678     452     368     130      34     188     254     295
****   8.3288 106 SAO MANOEL   :>: H: 230                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     450     350     664     553     397     224     176     109      91     114     120     187
2025   2     354     350     441     446     436     250     166     101      74      92     112     131
2025   3     391     285     412     416     373     223     176      93      69      79     127     128
2025   4     362     230     279     333     160     181     137      95      72      75      91     135
2026   1     450     350     664     553     397     224     176     109      91     114     120     187
2026   2     354     350     441     446     436     250     166     101      74      92     112     131
2026   3     391     285     412     416     373     223     176      93      69      79     127     128
2026   4     362     230     279     333     160     181     137      95      72      75      91     135
2027   1     450     350     664     553     397     224     176     109      91     114     120     187
2027   2     354     350     441     446     436     250     166     101      74      92     112     131
2027   3     391     285     412     416     373     223     176      93      69      79     127     128
2027   4     362     230     279     333     160     181     137      95      72      75      91     135
2028   1     450     350     664     553     397     224     176     109      91     114     120     187
2028   2     354     350     441     446     436     250     166     101      74      92     112     131
2028   3     391     285     412     416     373     223     176      93      69      79     127     128
2028   4     362     230     279     333     160     181     137      95      72      75      91     135
2029   1     450     350     664     553     397     224     176     109      91     114     120     187
2029   2     354     350     441     446     436     250     166     101      74      92     112     131
2029   3     391     285     412     416     373     223     176      93      69      79     127     128
2029   4     362     230     279     333     160     181     137      95      72      75      91     135
2030   1     450     350     664     553     397     224     176     109      91     114     120     187
2030   2     354     350     441     446     436     250     166     101      74      92     112     131
2030   3     391     285     412     416     373     223     176      93      69      79     127     128
2030   4     362     230     279     333     160     181     137      95      72      75      91     135
