NUM:   1 CAMARGOS              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2036  4.44  4.51  4.64  7.14  8.25 10.44 11.32 10.31  8.21  6.68   6.4  4.48
2037  4.47  4.54  4.67  7.22  8.35 10.59 11.48 10.46  8.31  6.75  6.46   4.5
2038   4.5  4.56   4.7  7.31  8.45 10.73 11.65  10.6  8.41  6.82  6.52  4.53
2039  4.52  4.59  4.73  7.39  8.56 10.87 11.79 10.73  8.51  6.89  6.58  4.56
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  14 CACONDE               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.28  0.28  0.28  0.51  0.51  0.52  0.57  0.63  0.55  0.39  0.32  0.28
2026  0.28  0.28  0.28  0.52  0.52  0.53  0.59  0.64  0.56   0.4  0.32  0.28
2027  0.28  0.28  0.28  0.53  0.53  0.54   0.6  0.66  0.57   0.4  0.33  0.28
2028  0.28  0.28  0.29  0.54  0.54  0.55  0.61  0.67  0.58  0.41  0.33  0.29
2029  0.29  0.29  0.29  0.55  0.55  0.56  0.62  0.68  0.59  0.42  0.33  0.29
2030  0.29  0.29  0.29  0.56  0.56  0.57  0.63   0.7   0.6  0.42  0.34  0.29
2031  0.29  0.29  0.29  0.57  0.56  0.58  0.64  0.71  0.61  0.43  0.34  0.29
2032  0.29  0.29   0.3  0.58  0.57  0.59  0.65  0.72  0.62  0.43  0.34   0.3
2033   0.3   0.3   0.3  0.59  0.58   0.6  0.67  0.74  0.63  0.44  0.35   0.3
2034   0.3   0.3   0.3   0.6  0.59  0.61  0.68  0.75  0.64  0.44  0.35   0.3
2035   0.3   0.3   0.3  0.61   0.6  0.62  0.69  0.76  0.65  0.45  0.35   0.3
2036   0.3   0.3  0.31  0.62  0.61  0.63   0.7  0.78  0.66  0.46  0.36   0.3
2037   0.3   0.3  0.31  0.62  0.62  0.63  0.71  0.79  0.68  0.46  0.36  0.31
2038  0.31  0.31  0.31  0.63  0.63  0.64  0.72   0.8  0.69  0.47  0.36  0.31
