Num Graph...........................|...Unid Type  Y/N
291 Energia armazenada 65% V.U.      GWh        2    1
293 CMg combustivel no reservatorio  $/UC       3    0
294 CMg capacidade reserv. comb.     $/UC       3    0
296 Violacao rest. vertimento minimo m3/s       7    0
297 Custo viol. rest. vertimento min.k$         8    0
298 Restricao de vertimento minimo   m3/s       0    0
299 Custo de vertimento hidro        k$         1    0
300 Indice de Lerner para transmissaopu         2    0
301 Custo futuro                     k$         2    0
302 Custo imediato por sistema       k$         2    0
303 Custos por categoria             k$         2    1
304 Vertimento geracao renovavel     GWh        2    1
305 Ingresso tarifario x circ. CA(>0)k$         9    0
306 Custo reserva conjunta hidro     k$         1    0
307 Custo reserva conjunta termica   k$         1    0
308 Energia afluente por hidro       GWh        0    0
310 Decisao de commitment termico    pu         2    0
311 Cenario renovavel                pu         0    1
312 Cenarios de renovavel sel.       0          0    0
313 Geracao liquida de bateria       MWh        2    0
314 Arm. final de energia em bateria MWh        2    0
315 Custo marginal de arm. maximo de $/MWh      3    0
317 Custo marginal de capacidade de c$/MWh      3    0
318 Probabilidade dos cenarios       p.u.       0    0
319 Fluxo nos capacitores serie      MW         2    0
321 Fator de producao acumulado      MW/m3/s    2    0
322 Violacao de volume meta          hm3        7    0
323 Fluxo nos transformadores        MW         2    1
324 Fluxo nos transformadores de tresMW         2    0
325 Decisao de partida termica       0/1        2    0
327 Duracao dos blocos em pu         pu         0    0
328 Injecoes de potencia             GWh        2    0
329 Custo de viol. de vol. max. op.  k$         8    0
330 Viol. de vol. max. op.           hm3        7    0
331 Volume maximo operativo          hm3        0    0
332 Custo marg. de volume max op.    k$/hm3     3    0
333 Reserva conjunta baterias        MW         2    0
334 Preco demanda el�stica por nivel $/MWh      0    0
335 Custo marginal restr. generica li$/unit     3    0
336 Violacao de restr. generica lin. unit       7    1
337 Custo vio. restr. generica lin.  k$         8    1
338 Carregamento dos elos CC         %          2    1
340 Energia de alerta por conj.resv. GWh        0    1
341 Energia de espera por conj.resv. GWh        0    0
342 Energia de seguranca por conj.resGWh        0    0
343 Emissoes termicas por usina      unit       2    0
344 Violacao rest. vertimento maximo m3/s       7    0
345 Custo viol. rest. vertimento max.k$         8    0
346 Restricao de vertimento maximo   m3/s       0    0
347 Custo emis. termicas por usina   k$         1    0
348 Capacidade de interc. PARA->DE   MW         0    1
349 Capacidade Elo CC PARA->DE       MW         0    0
350 Limite minimo de transferencia poMW         0    0
