**** Planta:    1 CAMARGOS     Penal:    3102.9723
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2030      57      55      49      40      22      41      32      28      21      40      28      54
2031      57      55      49      40      22      41      32      28      21      40      28      54
2032      57      55      49      40      22      41      32      28      21      40      28      54
2033      57      55      49      40      22      41      32      28      21      40      28      54
2034      57      55      49      40      22      41      32      28      21      40      28      54
2035      57      55      49      40      22      41      32      28      21      40      28      54
2036      57      55      49      40      22      41      32      28      21      40      28      54
2037      57      55      49      40      22      41      32      28      21      40      28      54
2038      57      55      49      40      22      41      32      28      21      40      28      54
2039      57      55      49      40      22      41      32      28      21      40      28      54
**** Planta:   17 MARIMBONDO   Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     464     585     368     354     385     312     353     436     454     409     346     374
2026     464     585     368     354     385     312     353     436     454     409     346     374
2027     464     585     368     354     385     312     353     436     454     409     346     374
2028     464     585     368     354     385     312     353     436     454     409     346     374
2029     464     585     368     354     385     312     353     436     454     409     346     374
2030     464     585     368     354     385     312     353     436     454     409     346     374
2031     464     585     368     354     385     312     353     436     454     409     346     374
2032     464     585     368     354     385     312     353     436     454     409     346     374
2033     464     585     368     354     385     312     353     436     454     409     346     374
2034     464     585     368     354     385     312     353     436     454     409     346     374
2035     464     585     368     354     385     312     353     436     454     409     346     374
2036     464     585     368     354     385     312     353     436     454     409     346     374
2037     464     585     368     354     385     312     353     436     454     409     346     374
2038     464     585     368     354     385     312     353     436     454     409     346     374
2039     464     585     368     354     385     312     353     436     454     409     346     374
**** Planta:   18 A. VERMELHA  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     859     748     941     859     400     924     958     967     750     786     711     812
2026     859     748     941     859     400     924     958     967     750     786     711     812
2027     859     748     941     859     400     924     958     967     750     786     711     812
2028     859     748     941     859     400     924     958     967     750     786     711     812
2029     859     748     941     859     400     924     958     967     750     786     711     812
2030     859     748     941     859     400     924     958     967     750     786     711     812
2031     859     748     941     859     400     924     958     967     750     786     711     812
2032     859     748     941     859     400     924     958     967     750     786     711     812
2033     859     748     941     859     400     924     958     967     750     786     711     812
2034     859     748     941     859     400     924     958     967     750     786     711     812
2035     859     748     941     859     400     924     958     967     750     786     711     812
2036     859     748     941     859     400     924     958     967     750     786     711     812
2037     859     748     941     859     400     924     958     967     750     786     711     812
2038     859     748     941     859     400     924     958     967     750     786     711     812
2039     859     748     941     859     400     924     958     967     750     786     711     812
**** Planta:   20 BATALHA      Penal:    1517.1075
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      45      41      61      74      50      37      76      54      35      23      35      32
2026      45      41      61      74      50      37      76      54      35      23      35      32
2027      45      41      61      74      50      37      76      54      35      23      35      32
2028      45      41      61      74      50      37      76      54      35      23      35      32
2029      45      41      61      74      50      37      76      54      35      23      35      32
2030      45      41      61      74      50      37      76      54      35      23      35      32
2031      45      41      61      74      50      37      76      54      35      23      35      32
2032      45      41      61      74      50      37      76      54      35      23      35      32
2033      45      41      61      74      50      37      76      54      35      23      35      32
2034      45      41      61      74      50      37      76      54      35      23      35      32
2035      45      41      61      74      50      37      76      54      35      23      35      32
2036      45      41      61      74      50      37      76      54      35      23      35      32
2037      45      41      61      74      50      37      76      54      35      23      35      32
2038      45      41      61      74      50      37      76      54      35      23      35      32
2039      45      41      61      74      50      37      76      54      35      23      35      32
**** Planta:   21 SERRA FACAO  Penal:    1011.6396
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      91      90      89      87      86       0      36     100      78     106      99      95
2026      91      90      89      87      86       0      36     100      78     106      99      95
2027      91      90      89      87      86       0      36     100      78     106      99      95
2028      91      90      89      87      86       0      36     100      78     106      99      95
2029      91      90      89      87      86       0      36     100      78     106      99      95
2030      91      90      89      87      86       0      36     100      78     106      99      95
2031      91      90      89      87      86       0      36     100      78     106      99      95
2032      91      90      89      87      86       0      36     100      78     106      99      95
2033      91      90      89      87      86       0      36     100      78     106      99      95
2034      91      90      89      87      86       0      36     100      78     106      99      95
2035      91      90      89      87      86       0      36     100      78     106      99      95
2036      91      90      89      87      86       0      36     100      78     106      99      95
2037      91      90      89      87      86       0      36     100      78     106      99      95
2038      91      90      89      87      86       0      36     100      78     106      99      95
2039      91      90      89      87      86       0      36     100      78     106      99      95
**** Planta:   24 EMBORCACAO   Penal:    626.95783
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     162     140     139     137     140     142     137     134     156     139     155     137
2026     162     140     139     137     140     142     137     134     156     139     155     137
2027     162     140     139     137     140     142     137     134     156     139     155     137
2028     162     140     139     137     140     142     137     134     156     139     155     137
2029     162     140     139     137     140     142     137     134     156     139     155     137
2030     162     140     139     137     140     142     137     134     156     139     155     137
