$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2031,1,1,1306,Bat-6-80466,80466,0,0,290.8231294979707,72.70578237449267,0.9,1,0,0,0,0,0,0
2031,1,1,1106,Bat-6-11584,11584,0,0,425.1382242600553,106.28455606501383,0.9,1,0,0,0,0,0,0
2031,1,1,1406,Bat-6-81983,81983,0,0,365.39090456867837,91.34772614216959,0.9,1,0,0,0,0,0,0
2031,1,1,806,Bat-6-11594,11594,0,0,317.3942685142242,79.34856712855606,0.9,1,0,0,0,0,0,0
2031,1,1,1206,Bat-6-505,505,0,0,263.7235871490077,65.93089678725192,0.9,1,0,0,0,0,0,0
2031,1,1,606,Bat-6-549,549,0,0,255.1433235083429,63.78583087708572,0.9,1,0,0,0,0,0,0
2031,1,1,1806,Bat-6-80981,80981,0,0,405.0305902956957,101.25764757392392,0.9,1,0,0,0,0,0,0
2031,1,1,906,Bat-6-523,523,0,0,134.09681386154807,33.52420346538702,0.9,1,0,0,0,0,0,0
2032,1,1,506,Bat-6-58691,58691,0,0,598.2733500766788,149.5683375191697,0.9,1,0,0,0,0,0,0
2032,1,1,1506,Bat-6-81305,81305,0,0,438.40416286610576,109.60104071652644,0.9,1,0,0,0,0,0,0
2032,1,1,606,Bat-6-549,549,0,0,428.51534716235926,107.12883679058982,0.9,1,0,0,0,0,0,0
2032,1,1,1406,Bat-6-81983,81983,0,0,613.6770822305913,153.41927055764782,0.9,1,0,0,0,0,0,0
2032,1,1,706,Bat-6-11560,11560,0,0,371.2304520280615,92.80761300701538,0.9,1,0,0,0,0,0,0
2032,1,1,106,Bat-6-12902,12902,0,0,223.9563197521615,55.989079938040376,0.9,1,0,0,0,0,0,0
2032,1,1,1306,Bat-6-80466,80466,0,0,488.43987993121704,122.10996998280426,0.9,1,0,0,0,0,0,0
2032,1,1,1906,Bat-6-12905,12905,0,0,645.2663546175604,161.3165886543901,0.9,1,0,0,0,0,0,0
2032,1,1,206,Bat-6-544,544,0,0,242.38163448221917,60.59540862055479,0.9,1,0,0,0,0,0,0
2032,1,1,1806,Bat-6-80981,80981,0,0,680.2522661591811,170.06306653979527,0.9,1,0,0,0,0,0,0
2032,1,1,306,Bat-6-12501,12501,0,0,564.8035123101511,141.20087807753777,0.9,1,0,0,0,0,0,0
2032,1,1,806,Bat-6-11594,11594,0,0,533.0663302865871,133.26658257164678,0.9,1,0,0,0,0,0,0
2032,1,1,1006,Bat-6-58121,58121,0,0,461.4780661748482,115.36951654371205,0.9,1,0,0,0,0,0,0
2032,1,1,1206,Bat-6-505,505,0,0,442.9259717562802,110.73149293907005,0.9,1,0,0,0,0,0,0
2032,1,1,1106,Bat-6-11584,11584,0,0,714.0232056859193,178.50580142147982,0.9,1,0,0,0,0,0,0
2032,1,1,1706,Bat-6-81984,81984,0,0,231.68988075124514,57.922470187811285,0.9,1,0,0,0,0,0,0
2032,1,1,406,Bat-6-11575,11575,0,0,773.3698343746537,193.34245859366342,0.9,1,0,0,0,0,0,0
2032,1,1,1606,Bat-6-11561,11561,0,0,859.5240281987403,214.88100704968508,0.9,1,0,0,0,0,0,0
2032,1,1,906,Bat-6-523,523,0,0,225.21672115542768,56.30418028885692,0.9,1,0,0,0,0,0,0
2033,1,1,706,Bat-6-11560,11560,0,0,521.7036705769267,130.42591764423167,0.9,1,0,0,0,0,0,0
2033,1,1,406,Bat-6-11575,11575,0,0,1086.84478631141,271.7111965778525,0.9,1,0,0,0,0,0,0
2033,1,1,1306,Bat-6-80466,80466,0,0,686.4223471543418,171.60558678858544,0.9,1,0,0,0,0,0,0
2033,1,1,1706,Bat-6-81984,81984,0,0,325.6022251491322,81.40055628728305,0.9,1,0,0,0,0,0,0
2033,1,1,306,Bat-6-12501,12501,0,0,793.7389401036332,198.4347350259083,0.9,1,0,0,0,0,0,0
2033,1,1,1806,Bat-6-80981,80981,0,0,955.9832773273969,238.99581933184922,0.9,1,0,0,0,0,0,0
2033,1,1,1606,Bat-6-11561,11561,0,0,1207.9204117297268,301.9801029324317,0.9,1,0,0,0,0,0,0
2033,1,1,606,Bat-6-549,549,0,0,602.2082194276722,150.55205485691806,0.9,1,0,0,0,0,0,0
2033,1,1,1106,Bat-6-11584,11584,0,0,1003.442808229778,250.8607020574445,0.9,1,0,0,0,0,0,0
2033,1,1,806,Bat-6-11594,11594,0,0,749.137522668703,187.28438066717575,0.9,1,0,0,0,0,0,0
2033,1,1,1406,Bat-6-81983,81983,0,0,862.4227473785934,215.60568684464835,0.9,1,0,0,0,0,0,0
2033,1,1,1206,Bat-6-505,505,0,0,622.4599948541838,155.61499871354596,0.9,1,0,0,0,0,0,0
2033,1,1,1506,Bat-6-81305,81305,0,0,616.105332183695,154.02633304592376,0.9,1,0,0,0,0,0,0
2033,1,1,206,Bat-6-544,544,0,0,340.62773594944787,85.15693398736197,0.9,1,0,0,0,0,0,0
2033,1,1,1906,Bat-6-12905,12905,0,0,906.8163020158902,226.70407550397255,0.9,1,0,0,0,0,0,0
2033,1,1,1006,Bat-6-58121,58121,0,0,648.531928614416,162.132982153604,0.9,1,0,0,0,0,0,0
2033,1,1,106,Bat-6-12902,12902,0,0,314.73397030147356,78.68349257536839,0.9,1,0,0,0,0,0,0
2033,1,1,506,Bat-6-58691,58691,0,0,840.7753217394043,210.19383043485107,0.9,1,0,0,0,0,0,0
2033,1,1,906,Bat-6-523,523,0,0,316.5052582841592,79.1263145710398,0.9,1,0,0,0,0,0,0
2034,1,1,106,Bat-6-12902,12902,0,0,405.2972952431927,101.32432381079818,0.9,1,0,0,0,0,0,0
2034,1,1,206,Bat-6-544,544,0,0,438.6418788314612,109.6604697078653,0.9,1,0,0,0,0,0,0
2034,1,1,306,Bat-6-12501,12501,0,0,1022.1338524248106,255.53346310620265,0.9,1,0,0,0,0,0,0
2034,1,1,406,Bat-6-11575,11575,0,0,1399.5796253554836,349.8949063388709,0.9,1,0,0,0,0,0,0
2034,1,1,506,Bat-6-58691,58691,0,0,1082.7047473833181,270.67618684582953,0.9,1,0,0,0,0,0,0
2034,1,1,606,Bat-6-549,549,0,0,775.4910036354343,193.87275090885856,0.9,1,0,0,0,0,0,0
2034,1,1,706,Bat-6-11560,11560,0,0,671.8216225618656,167.9554056404664,0.9,1,0,0,0,0,0,0
2034,1,1,806,Bat-6-11594,11594,0,0,964.6985719780429,241.17464299451072,0.9,1,0,0,0,0,0,0
2034,1,1,906,Bat-6-523,523,0,0,407.5782636044777,101.89456590111942,0.9,1,0,0,0,0,0,0
2034,1,1,1006,Bat-6-58121,58121,0,0,835.1441577612364,208.7860394403091,0.9,1,0,0,0,0,0,0
2034,1,1,1106,Bat-6-11584,11584,0,0,1292.1790924481552,323.0447731120388,0.9,1,0,0,0,0,0,0
2034,1,1,1206,Bat-6-505,505,0,0,801.5701389647903,200.39253474119758,0.9,1,0,0,0,0,0,0
2034,1,1,1306,Bat-6-80466,80466,0,0,883.937378700033,220.98434467500826,0.9,1,0,0,0,0,0,0
2034,1,1,1406,Bat-6-81983,81983,0,0,1110.581125176721,277.6452812941802,0.9,1,0,0,0,0,0,0
2034,1,1,1506,Bat-6-81305,81305,0,0,793.3869498731744,198.3467374682936,0.9,1,0,0,0,0,0,0
2034,1,1,1606,Bat-6-11561,11561,0,0,1555.4942330316667,388.87355825791667,0.9,1,0,0,0,0,0,0
2034,1,1,1706,Bat-6-81984,81984,0,0,419.2928429419381,104.82321073548452,0.9,1,0,0,0,0,0,0
2034,1,1,1806,Bat-6-80981,80981,0,0,1231.063288870229,307.76582221755723,0.9,1,0,0,0,0,0,0
2034,1,1,1906,Bat-6-12905,12905,0,0,1167.748731213949,291.93718280348725,0.9,1,0,0,0,0,0,0
2036,1,1,1106,Bat-6-11584,11584,0,0,1441.1318854270055,360.2829713567514,0.9,1,0,0,0,0,0,0
2036,1,1,1206,Bat-6-505,505,0,0,893.9691815317486,223.49229538293716,0.9,1,0,0,0,0,0,0
2036,1,1,1506,Bat-6-81305,81305,0,0,884.8426952781574,221.21067381953935,0.9,1,0,0,0,0,0,0
2036,1,1,706,Bat-6-11560,11560,0,0,749.264221385053,187.31605534626325,0.9,1,0,0,0,0,0,0
2036,1,1,406,Bat-6-11575,11575,0,0,1560.9127527921949,390.2281881980487,0.9,1,0,0,0,0,0,0
2036,1,1,1606,Bat-6-11561,11561,0,0,1734.8000365589417,433.7000091397354,0.9,1,0,0,0,0,0,0
2036,1,1,1706,Bat-6-81984,81984,0,0,467.6258026665205,116.90645066663012,0.9,1,0,0,0,0,0,0
2036,1,1,806,Bat-6-11594,11594,0,0,1075.9018467552219,268.97546168880547,0.9,1,0,0,0,0,0,0
2036,1,1,1306,Bat-6-80466,80466,0,0,985.8311039160338,246.45777597900846,0.9,1,0,0,0,0,0,0
2036,1,1,506,Bat-6-58691,58691,0,0,1207.5108961878627,301.8777240469657,0.9,1,0,0,0,0,0,0
2036,1,1,306,Bat-6-12501,12501,0,0,1139.9578390584716,284.9894597646179,0.9,1,0,0,0,0,0,0
2036,1,1,606,Bat-6-549,549,0,0,864.883837489929,216.22095937248224,0.9,1,0,0,0,0,0,0
2036,1,1,1406,Bat-6-81983,81983,0,0,1238.6006554349105,309.65016385872764,0.9,1,0,0,0,0,0,0
