$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2028,7,1,1610,Bat-10-4300,4300,0,0,61.39561220769652,15.34890305192413,0.9,1,0,0,0,0,0,0
2028,7,1,1710,Bat-10-4285,4285,0,0,105.22229095053768,26.30557273763442,0.9,1,0,0,0,0,0,0
2028,7,1,1810,Bat-10-3895,3895,0,0,42.19055188981428,10.54763797245357,0.9,1,0,0,0,0,0,0
2028,7,1,1910,Bat-10-4298,4298,0,0,75.62983910561357,18.907459776403392,0.9,1,0,0,0,0,0,0
2031,1,1,1504,Bat-4-3875,3875,0,0,72.1560805233492,18.0390201308373,0.9,1,0,0,0,0,0,0
2031,1,1,304,Bat-4-38912,38912,0,0,118.07426702082017,29.518566755205043,0.9,1,0,0,0,0,0,0
2031,1,1,404,Bat-4-80265,80265,0,0,74.05511126125496,18.51377781531374,0.9,1,0,0,0,0,0,0
2031,1,1,904,Bat-4-4293,4293,0,0,83.10907289949954,20.777268224874884,0.9,1,0,0,0,0,0,0
2031,1,1,1804,Bat-4-3895,3895,0,0,51.793455593937985,12.948363898484496,0.9,1,0,0,0,0,0,0
2031,1,1,604,Bat-4-60065,60065,0,0,51.731928410824,12.932982102706,0.9,1,0,0,0,0,0,0
2031,1,1,504,Bat-4-60341,60341,0,0,68.63317482671741,17.158293706679352,0.9,1,0,0,0,0,0,0
2031,1,1,1704,Bat-4-4285,4285,0,0,129.17171759383416,32.29292939845854,0.9,1,0,0,0,0,0,0
2031,1,1,1604,Bat-4-4300,4300,0,0,75.36973971913513,18.84243492978378,0.9,1,0,0,0,0,0,0
2031,1,1,1204,Bat-4-38929,38929,0,0,157.02463777804994,39.256159444512484,0.9,1,0,0,0,0,0,0
2031,1,1,804,Bat-4-80275,80275,0,0,45.06881468373583,11.267203670933958,0.9,1,0,0,0,0,0,0
2031,1,1,1404,Bat-4-1525,1525,0,0,193.9289483152458,48.48223707881145,0.9,1,0,0,0,0,0,0
2031,1,1,704,Bat-4-80276,80276,0,0,46.03066845450733,11.507667113626832,0.9,1,0,0,0,0,0,0
2031,1,1,2004,Bat-4-4303,4303,0,0,107.1639645730991,26.790991143274773,0.9,1,0,0,0,0,0,0
2031,1,1,104,Bat-4-39813,39813,0,0,59.687866473494616,14.921966618373654,0.9,1,0,0,0,0,0,0
2031,1,1,1304,Bat-4-1512,1512,0,0,58.58131904017601,14.645329760044003,0.9,1,0,0,0,0,0,0
2031,1,1,1104,Bat-4-38900,38900,0,0,89.50286097773245,22.375715244433113,0.9,1,0,0,0,0,0,0
2031,1,1,204,Bat-4-2617,2617,0,0,86.06449688012599,21.516124220031497,0.9,1,0,0,0,0,0,0
2031,1,1,1004,Bat-4-38911,38911,0,0,407.1700855989745,101.79252139974362,0.9,1,0,0,0,0,0,0
2031,1,1,1904,Bat-4-4298,4298,0,0,92.84378937548223,23.210947343870558,0.9,1,0,0,0,0,0,0
2035,1,1,1204,Bat-4-38929,38929,0,0,449.72698155655894,112.43174538913973,0.9,1,0,0,0,0,0,0
2035,1,1,1304,Bat-4-1512,1512,0,0,167.78003859992288,41.94500964998072,0.9,1,0,0,0,0,0,0
2035,1,1,2004,Bat-4-4303,4303,0,0,306.9233401908274,76.73083504770685,0.9,1,0,0,0,0,0,0
