**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2032     102      93      75     102      93     110     100      85     104     105      99      94
2033     102      93      75     102      93     110     100      85     104     105      99      94
2034     102      93      75     102      93     110     100      85     104     105      99      94
2035     102      93      75     102      93     110     100      85     104     105      99      94
2036     102      93      75     102      93     110     100      85     104     105      99      94
2037     102      93      75     102      93     110     100      85     104     105      99      94
2038     102      93      75     102      93     110     100      85     104     105      99      94
2039     102      93      75     102      93     110     100      85     104     105      99      94
**** Planta:  183 FONTES A     Penal:    6696.2651
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      29      38      22      32      27      22      27      23      31      34      19      44
2026      29      38      22      32      27      22      27      23      31      34      19      44
2027      29      38      22      32      27      22      27      23      31      34      19      44
2028      29      38      22      32      27      22      27      23      31      34      19      44
2029      29      38      22      32      27      22      27      23      31      34      19      44
2030      29      38      22      32      27      22      27      23      31      34      19      44
2031      29      38      22      32      27      22      27      23      31      34      19      44
2032      29      38      22      32      27      22      27      23      31      34      19      44
2033      29      38      22      32      27      22      27      23      31      34      19      44
2034      29      38      22      32      27      22      27      23      31      34      19      44
2035      29      38      22      32      27      22      27      23      31      34      19      44
2036      29      38      22      32      27      22      27      23      31      34      19      44
2037      29      38      22      32      27      22      27      23      31      34      19      44
2038      29      38      22      32      27      22      27      23      31      34      19      44
2039      29      38      22      32      27      22      27      23      31      34      19      44
**** Planta:  133 P. PASSOS    Penal:    282.38851
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     120     120     120     120     120     120     120     120     120     120     120     120
2026     120     120     120     120     120     120     120     120     120     120     120     120
2027     120     120     120     120     120     120     120     120     120     120     120     120
2028     120     120     120     120     120     120     120     120     120     120     120     120
2029     120     120     120     120     120     120     120     120     120     120     120     120
2030     120     120     120     120     120     120     120     120     120     120     120     120
2031     120     120     120     120     120     120     120     120     120     120     120     120
2032     120     120     120     120     120     120     120     120     120     120     120     120
2033     120     120     120     120     120     120     120     120     120     120     120     120
2034     120     120     120     120     120     120     120     120     120     120     120     120
2035     120     120     120     120     120     120     120     120     120     120     120     120
2036     120     120     120     120     120     120     120     120     120     120     120     120
2037     120     120     120     120     120     120     120     120     120     120     120     120
2038     120     120     120     120     120     120     120     120     120     120     120     120
2039     120     120     120     120     120     120     120     120     120     120     120     120
**** Planta:  134 SALTO GRANDE Penal:          200
